R;P;T
-1,134712E+09;-2,337491E+08;-1,670966E+07
-1,134709E+09;-2,337486E+08;-1,670961E+07
-1,134697E+09;-2,337465E+08;-1,67094E+07
-1,134669E+09;-2,337417E+08;-1,670893E+07
-1,134621E+09;-2,337332E+08;-1,670809E+07
-1,134546E+09;-2,337198E+08;-1,670678E+07
-1,134438E+09;-2,337007E+08;-1,67049E+07
-1,134291E+09;-2,336746E+08;-1,670233E+07
-1,134099E+09;-2,336406E+08;-1,669899E+07
-1,133856E+09;-2,335976E+08;-1,669477E+07
-1,133557E+09;-2,335447E+08;-1,668957E+07
-1,133196E+09;-2,334807E+08;-1,668328E+07
-1,132767E+09;-2,334047E+08;-1,667581E+07
-1,132264E+09;-2,333157E+08;-1,666707E+07
-1,131683E+09;-2,332128E+08;-1,665694E+07
-1,131017E+09;-2,330948E+08;-1,664535E+07
-1,130261E+09;-2,32961E+08;-1,66322E+07
-1,12941E+09;-2,328104E+08;-1,661739E+07
-1,128459E+09;-2,326419E+08;-1,660084E+07
-1,127403E+09;-2,324548E+08;-1,658245E+07
-1,126236E+09;-2,322482E+08;-1,656214E+07
-1,124954E+09;-2,320212E+08;-1,653982E+07
-1,123551E+09;-2,317729E+08;-1,651542E+07
-1,122025E+09;-2,315025E+08;-1,648884E+07
-1,120369E+09;-2,312092E+08;-1,646002E+07
-1,118579E+09;-2,308924E+08;-1,642888E+07
-1,116652E+09;-2,30551E+08;-1,639533E+07
-1,114582E+09;-2,301846E+08;-1,635931E+07
-1,112367E+09;-2,297923E+08;-1,632076E+07
-1,110002E+09;-2,293735E+08;-1,627959E+07
-1,107483E+09;-2,289275E+08;-1,623576E+07
-1,104808E+09;-2,284537E+08;-1,618919E+07
-1,101972E+09;-2,279515E+08;-1,613983E+07
-1,098972E+09;-2,274203E+08;-1,608762E+07
-1,095806E+09;-2,268595E+08;-1,60325E+07
-1,09247E+09;-2,262688E+08;-1,597444E+07
-1,088961E+09;-2,256475E+08;-1,591338E+07
-1,085278E+09;-2,249952E+08;-1,584927E+07
-1,081417E+09;-2,243116E+08;-1,578207E+07
-1,077377E+09;-2,235961E+08;-1,571175E+07
-1,073155E+09;-2,228485E+08;-1,563827E+07
-1,06875E+09;-2,220684E+08;-1,55616E+07
-1,064159E+09;-2,212555E+08;-1,54817E+07
-1,059382E+09;-2,204096E+08;-1,539856E+07
-1,054417E+09;-2,195304E+08;-1,531214E+07
-1,049263E+09;-2,186177E+08;-1,522244E+07
-1,043919E+09;-2,176713E+08;-1,512942E+07
-1,038384E+09;-2,166912E+08;-1,503309E+07
-1,032658E+09;-2,156772E+08;-1,493342E+07
-1,02674E+09;-2,146292E+08;-1,483042E+07
-1,02063E+09;-2,135472E+08;-1,472408E+07
-1,014328E+09;-2,124313E+08;-1,46144E+07
-1,007834E+09;-2,112814E+08;-1,450138E+07
-1,001149E+09;-2,100976E+08;-1,438503E+07
-9,942738E+08;-2,0888E+08;-1,426536E+07
-9,872081E+08;-2,076288E+08;-1,414238E+07
-9,799533E+08;-2,063441E+08;-1,401611E+07
-9,725105E+08;-2,050261E+08;-1,388657E+07
-9,648812E+08;-2,036751E+08;-1,375378E+07
-9,570666E+08;-2,022913E+08;-1,361777E+07
-9,490687E+08;-2,00875E+08;-1,347857E+07
-9,408891E+08;-1,994265E+08;-1,333621E+07
-9,3253E+08;-1,979462E+08;-1,319072E+07
-9,239935E+08;-1,964346E+08;-1,304214E+07
-9,152822E+08;-1,948919E+08;-1,289052E+07
-9,063985E+08;-1,933188E+08;-1,27359E+07
-8,973451E+08;-1,917156E+08;-1,257833E+07
-8,88125E+08;-1,900829E+08;-1,241786E+07
-8,787412E+08;-1,884212E+08;-1,225453E+07
-8,691971E+08;-1,867311E+08;-1,208842E+07
-8,594959E+08;-1,850131E+08;-1,191957E+07
-8,496412E+08;-1,83268E+08;-1,174805E+07
-8,396367E+08;-1,814964E+08;-1,157392E+07
-8,294862E+08;-1,796989E+08;-1,139726E+07
-8,191938E+08;-1,778763E+08;-1,121812E+07
-8,087635E+08;-1,760293E+08;-1,103658E+07
-7,981997E+08;-1,741586E+08;-1,085272E+07
-7,875067E+08;-1,722651E+08;-1,066661E+07
-7,76689E+08;-1,703494E+08;-1,047833E+07
-7,657514E+08;-1,684126E+08;-1,028796E+07
-7,546984E+08;-1,664553E+08;-1,009559E+07
-7,435352E+08;-1,644784E+08;-9901291
-7,322665E+08;-1,62483E+08;-9705161
-7,208975E+08;-1,604697E+08;-9507286
-7,094335E+08;-1,584396E+08;-9307756
-6,978796E+08;-1,563936E+08;-9106663
-6,862413E+08;-1,543327E+08;-8904100
-6,74524E+08;-1,522577E+08;-8700162
-6,627332E+08;-1,501698E+08;-8494946
-6,508746E+08;-1,480699E+08;-8288549
-6,389539E+08;-1,459589E+08;-8081070
-6,269766E+08;-1,438379E+08;-7872609
-6,149488E+08;-1,41708E+08;-7663266
-6,028762E+08;-1,395701E+08;-7453143
-5,907645E+08;-1,374254E+08;-7242342
-5,7862E+08;-1,352748E+08;-7030967
-5,664483E+08;-1,331194E+08;-6819122
-5,542556E+08;-1,309603E+08;-6606910
-5,420479E+08;-1,287985E+08;-6394436
-5,298311E+08;-1,266351E+08;-6181804
-5,176113E+08;-1,244712E+08;-5969120
-5,053915E+08;-1,115474E+08;-5988428
-5,01659E+08;-1,075736E+08;-5752376
-4,985843E+08;-1,043553E+08;-5516720
-4,959094E+08;-1,016328E+08;-5291140
-4,935022E+08;-9,920738E+07;-5071460
-4,91311E+08;-9,704346E+07;-4864916
-4,89293E+08;-9,510624E+07;-4674564
-4,873996E+08;-9,330626E+07;-4491080
-4,856116E+08;-9,161812E+07;-4313372
-4,835019E+08;-8,964938E+07;-4101008
-4,803766E+08;-8,680234E+07;-3789504
-4,774994E+08;-8,424002E+07;-3505008
-4,748159E+08;-8,188376E+07;-3238636
-4,723005E+08;-7,97183E+07;-2992844
-4,699304E+08;-7,77251E+07;-2768104
-4,676737E+08;-7,585078E+07;-2555420
-4,655172E+08;-7,407952E+07;-2353472
-4,634527E+08;-7,240642E+07;-2163216
-4,614725E+08;-7,082678E+07;-1985064
-4,595686E+08;-6,93333E+07;-1818844
-4,577273E+08;-6,79037E+07;-1659596
-4,555038E+08;-6,619332E+07;-1469304
-4,521129E+08;-6,362742E+07;-1186488
-4,489172E+08;-6,126982E+07;-932948
-4,458811E+08;-5,90707E+07;-700232
-4,429823E+08;-5,700164E+07;-483560
-4,402108E+08;-5,505659E+07;-283732
-4,375577E+08;-5,322966E+07;-101404
-4,350044E+08;-5,149681E+07;68344
-4,325387E+08;-4,984199E+07;228532
-4,301563E+08;-4,826272E+07;378972
-4,278525E+08;-4,675658E+07;519200
-4,256233E+08;-4,532142E+07;649092
-4,234599E+08;-4,394502E+07;770836
-4,213535E+08;-4,261738E+07;887128
-4,193025E+08;-4,133642E+07;997640
-4,173041E+08;-4,010209E+07;1102108
-4,153572E+08;-3,891211E+07;1200504
-4,125228E+08;-3,72037E+07;1337096
-4,088888E+08;-3,504958E+07;1503180
-4,054031E+08;-3,301644E+07;1654932
-4,020577E+08;-3,109904E+07;1792244
-3,988451E+08;-2,929231E+07;1914304
-3,957472E+08;-2,757914E+07;2024864
-3,927493E+08;-2,594264E+07;2127448
-3,898468E+08;-2,438108E+07;2221396
-3,870361E+08;-2,289155E+07;2306760
-3,843138E+08;-2,147145E+07;2383148
-3,816675E+08;-2,011018E+07;2453252
-3,79089E+08;-1,879815E+07;2518500
-3,765757E+08;-1,753496E+07;2578968
-3,741262E+08;-1,631839E+07;2634508
-3,717382E+08;-1,51479E+07;2685008
-3,694101E+08;-1,402188E+07;2730256
-3,671351E+08;-1,293521E+07;2771432
-3,649067E+08;-1,188062E+07;2809948
-3,627232E+08;-1,08582E+07;2845880
-3,605842E+08;-9866280;2878928
-3,584884E+08;-8904848;2909152
-3,564348E+08;-7972992;2936332
-3,52932E+08;-6407008;2977848
-3,490622E+08;-4708896;3017084
-3,453179E+08;-3093640;3050528
-3,416943E+08;-1559168;3077512
-3,381873E+08;-102184;3098114
-3,347924E+08;1280776;3112258
-3,314915E+08;2603640;3122214
-3,28277E+08;3871352;3129018
-3,25147E+08;5086232;3132208
-3,220985E+08;6249112;3132174
-3,191298E+08;7362584;3128288
-3,162363E+08;8429456;3121086
-3,134057E+08;9458616;3112126
-3,106348E+08;1,045196E+07;3101418
-3,079224E+08;1,140999E+07;3089172
-3,052676E+08;1,233451E+07;3075078
-3,026685E+08;1,322584E+07;3059190
-3,001245E+08;1,408534E+07;3041640
-2,976333E+08;1,49141E+07;3022184
-2,951861E+08;1,571747E+07;3001916
-2,927809E+08;1,649726E+07;2980898
-2,904167E+08;1,725405E+07;2959226
-2,880929E+08;1,798829E+07;2936772
-2,858086E+08;1,870019E+07;2913660
-2,835635E+08;1,93908E+07;2889354
-2,813565E+08;2,006004E+07;2864392
-2,786483E+08;2,086886E+07;2832526
-2,74419E+08;2,210706E+07;2779568
-2,70306E+08;2,328345E+07;2725656
-2,663058E+08;2,440011E+07;2670752
-2,624154E+08;2,545973E+07;2614924
-2,58632E+08;2,64651E+07;2557930
-2,549516E+08;2,741823E+07;2499928
-2,513576E+08;2,832824E+07;2441756
-2,478444E+08;2,919782E+07;2383358
