R;P;T
-6,754372E+08;-2,682467E+08;-2,170008E+07
-6,754365E+08;-2,68246E+08;-2,17E+07
-6,754334E+08;-2,682432E+08;-2,169969E+07
-6,754265E+08;-2,682369E+08;-2,1699E+07
-6,754141E+08;-2,682257E+08;-2,169777E+07
-6,753949E+08;-2,682081E+08;-2,169586E+07
-6,753672E+08;-2,681829E+08;-2,16931E+07
-6,753296E+08;-2,681486E+08;-2,168935E+07
-6,752805E+08;-2,681039E+08;-2,168445E+07
-6,752185E+08;-2,680474E+08;-2,167827E+07
-6,75142E+08;-2,679777E+08;-2,167064E+07
-6,750497E+08;-2,678936E+08;-2,166144E+07
-6,749399E+08;-2,677936E+08;-2,16505E+07
-6,748114E+08;-2,676765E+08;-2,163769E+07
-6,746627E+08;-2,67541E+08;-2,162286E+07
-6,744924E+08;-2,673859E+08;-2,160589E+07
-6,742991E+08;-2,672098E+08;-2,158662E+07
-6,740815E+08;-2,670116E+08;-2,156493E+07
-6,738382E+08;-2,6679E+08;-2,154069E+07
-6,73568E+08;-2,665438E+08;-2,151375E+07
-6,732696E+08;-2,662719E+08;-2,148401E+07
-6,729416E+08;-2,659732E+08;-2,145132E+07
-6,72583E+08;-2,656465E+08;-2,141558E+07
-6,721926E+08;-2,652908E+08;-2,137666E+07
-6,71769E+08;-2,64905E+08;-2,133445E+07
-6,713114E+08;-2,64488E+08;-2,128883E+07
-6,708184E+08;-2,64039E+08;-2,12397E+07
-6,702892E+08;-2,635569E+08;-2,118694E+07
-6,697226E+08;-2,630407E+08;-2,113047E+07
-6,691178E+08;-2,624897E+08;-2,107018E+07
-6,684736E+08;-2,619029E+08;-2,100598E+07
-6,677893E+08;-2,612795E+08;-2,093777E+07
-6,67064E+08;-2,606188E+08;-2,086548E+07
-6,662968E+08;-2,599199E+08;-2,078901E+07
-6,65487E+08;-2,591821E+08;-2,070829E+07
-6,646337E+08;-2,584049E+08;-2,062325E+07
-6,637364E+08;-2,575875E+08;-2,053381E+07
-6,627944E+08;-2,567293E+08;-2,043992E+07
-6,61807E+08;-2,558298E+08;-2,03415E+07
-6,607737E+08;-2,548885E+08;-2,023851E+07
-6,59694E+08;-2,539049E+08;-2,013089E+07
-6,585673E+08;-2,528785E+08;-2,001859E+07
-6,573933E+08;-2,51809E+08;-1,990157E+07
-6,561715E+08;-2,50696E+08;-1,977979E+07
-6,549017E+08;-2,495392E+08;-1,965323E+07
-6,535835E+08;-2,483384E+08;-1,952184E+07
-6,522167E+08;-2,470933E+08;-1,938561E+07
-6,508012E+08;-2,458037E+08;-1,924451E+07
-6,493366E+08;-2,444696E+08;-1,909854E+07
-6,478231E+08;-2,430908E+08;-1,894768E+07
-6,462605E+08;-2,416673E+08;-1,879193E+07
-6,446488E+08;-2,40199E+08;-1,863129E+07
-6,42988E+08;-2,386861E+08;-1,846575E+07
-6,412783E+08;-2,371287E+08;-1,829534E+07
-6,395199E+08;-2,355267E+08;-1,812007E+07
-6,377128E+08;-2,338805E+08;-1,793996E+07
-6,358573E+08;-2,321903E+08;-1,775502E+07
-6,339539E+08;-2,304562E+08;-1,756529E+07
-6,320026E+08;-2,286787E+08;-1,73708E+07
-6,30004E+08;-2,26858E+08;-1,71716E+07
-6,279585E+08;-2,249946E+08;-1,696772E+07
-6,258666E+08;-2,230889E+08;-1,67592E+07
-6,237287E+08;-2,211413E+08;-1,654612E+07
-6,215455E+08;-2,191524E+08;-1,632851E+07
-6,193175E+08;-2,171228E+08;-1,610644E+07
-6,170454E+08;-2,15053E+08;-1,587998E+07
-6,1473E+08;-2,129437E+08;-1,564919E+07
-6,123719E+08;-2,107956E+08;-1,541416E+07
-6,09972E+08;-2,086093E+08;-1,517495E+07
-6,07531E+08;-2,063856E+08;-1,493165E+07
-6,050499E+08;-2,041254E+08;-1,468435E+07
-6,025295E+08;-2,018294E+08;-1,443314E+07
-5,999708E+08;-1,994985E+08;-1,41781E+07
-5,973747E+08;-1,971336E+08;-1,391935E+07
-5,947424E+08;-1,947356E+08;-1,365698E+07
-5,920748E+08;-1,923055E+08;-1,339109E+07
