R;P;T
8801277,73144287;6644477,89157631;7574296,92076731
5837902,41868224;4139899,08256881;5609547,97664721
5513505,42785655;3822859,0558799;5541232,70725605
5015434,20620285;3423637,04945516;4675876,76781224
4971332,20338983;3325629,66101695;4863799,15254237
4838921,56862745;3007431,37254902;4729278,77237852
4725424,76354256;3113815,13327601;4642533,11092003
4844189,07198612;3198932,35039029;4967592,38161318
4452918,42105263;3065621,05263158;4361084,21052632
4296564,1025641;2855465,07515473;4573515,47303271
4792593,52517986;3128132,1942446;4949227,52517986
4665381,81818182;3138433,63636364;4699971,81090909
4830230,48668503;3202111,11111111;4897719,02295684
4444922,79069767;2923639,06976744;4564855,80651163
4473067,47891284;2906891,28397376;4626949,39081537
4809250,7068803;3072262,9594722;4773305,37229029
4497616,19047619;3002579,04761905;4325430,47619048
4724119,96161228;3083961,61228407;4674859,87715931
4610949,75845411;2846721,73913043;4326041,53816425
4574639,72736125;2884778,96786758;4251560,85686465
4222799,21645446;2819026,4446621;4003023,50636631
4203432,80632411;2895387,35177866;4060138,33992095
4312480,59701493;2833460,69651741;4380574,12935323
4255892,6780341;2797190,57171515;4096241,72517553
4544280,08088979;2979142,56825076;4429435,79373104
4431082,31707317;2907826,2195122;4161198,17073171
4354439,79591837;2938754,08163265;4143679,59183673
4386487,17948718;2839507,69230769;4207475,8974359
4533533,95061728;2876944,44444444;4447868,3127572
4455335,41017653;2706087,22741433;4162304,25752856
4150255,98335068;2791482,83038502;4321552,54942768
4181823,71458552;2739754,45960126;4034287,51311647
4051784,3551797;2640933,4038055;3898488,37209302
4242422,34042553;2851881,91489362;4000078,72340426
4044745,72649573;2808065,17094017;3930165,5982906
4071061,2244898;2785660,58002148;3857582,16970999
4084966,5587918;2893967,63754045;4052230,85221143
4203149,02807775;2873785,09719222;3845841,25269978
4147388,10810811;2745490,81081081;4062128,64864865
4001031,55603917;2802170,83786725;3813805,22306855
3953776,31578947;2773209,42982456;3833797,14912281
3870137,66519824;2629704,84581498;3734697,13656388
4083769,91150442;2721717,92035398;3900534,2920354
3978543,33333333;2728644,44444444;3822386,66666667
3968221,22905028;2637156,42458101;3911792,17877095
