R;P;T
17589,97275918;9506,67596484921;4693,58467808761
1013,96257206199;1792,38710600517;779,098039886447
575,78452385747;1045,59085052463;419,204000642529
388,539283618343;712,804007079225;284,879305281317
290,584584563824;537,124844529001;203,214132120687
237,711773129145;433,652475676868;161,156213841779
188,693623045916;373,122497199803;133,6557798309
162,821104385367;303,071298228775;120,176527042275
134,713891196677;285,915165001281;102,976417366857
117,348911606223;256,938389034832;93,6364538499075
106,840911736317;214,767845921817;80,9211241064737
95,3970390842456;203,016142015466;74,4197422470626
78,6273717739044;197,231659766603;68,5859188597031
76,2488408963571;176,568845948274;65,488222673704
68,705308112574;167,312214030208;62,5864937194123
62,9433562596029;161,837978750942;56,6655034185265
57,1294706827797;149,753715055301;53,3817308742933
55,074921733029;133,233646133709;47,9970370453369
51,9701922076643;140,505972846922;47,5304279796028
48,1821263926407;129,834231331528;43,1762908496369
45,2438138184456;125,585197339213;43,0626662758444
44,4526712696395;111,873350883816;40,1235174954825
40,9129629275375;107,980860103404;39,5717832765741
38,8764936531973;110,728617810676;37,8081301977586
35,076337215487;100,800566679477;36,9874731446424
33,5388264679621;104,878885854042;36,4005613559066
32,3867003296434;101,824535606178;34,8645471173156
29,8356488767555;103,566509438207;33,8544304657107
29,8075575812971;90,5749706091951;31,0082786249614
30,3769307742748;92,8345435343272;32,1425395755053
30,968029512562;87,8956989821097;30,8618721378239
28,9292518772949;85,3333659838234;30,75531226027
28,6369041798508;81,6000232928477;28,8969595455519
27,7932537287862;80,2111069281743;27,529140479051
27,5013044804771;80,3140233607534;27,6388526495901
26,2677082568551;75,6498393033168;26,515094342281
25,5197990440376;71,5657871347071;24,9774929271345
24,8201338833614;71,2265422350042;26,1118768438458
23,7931650991483;68,9428357302319;24,3118943602443
22,8904300018483;72,1071259390818;24,1873409447902
22,4740244002597;64,7925624160534;25,1069756039974
21,5381118698849;65,9849111841202;24,2687915568161
19,4949735944567;61,4035362470514;22,4502333818481
20,3335601647062;62,4678243531691;22,789668197665
20,4439247847881;63,1849724682398;22,2174220880381
19,6360391913849;63,0390634255372;21,1842242438669
19,1248643283346;60,6690554002619;21,8041785641034
18,8500772336293;59,5256821153144;21,2350113390699
18,6605616725516;56,2465335080035;21,0527879126633
18,3744002065938;58,0307778599458;21,0056712597921
17,6857432044558;55,3344888061082;19,3827102715249
16,1778785652622;54,4830856748147;19,1974810646389
17,0894207027827;51,7186541137388;18,7776817781089
