R;P;T
49,9640404683125;96,2526314394848;42,9487092160496
31,5563092280095;74,8318221194499;26,8740361400036
28,5045573964522;76,3482489628475;27,0020797063565
26,1326815503066;67,6495804976064;24,8488305723362
25,196767586473;68,5660242953182;24,0478630843957
23,9318329578231;65,7143764178033;22,7421745513688
22,2983886954037;68,2591169345062;22,8528734996697
20,9907200089556;72,7435267003163;24,5278568061336
20,8901011870022;63,8304761224543;23,8129597143981
20,3787347804883;65,7538574647917;21,9935606450465
20,5553760820338;76,8820809120107;24,4036885799905
19,6638946851404;72,2126794506487;24,1875953170861
20,4236566377859;72,9308192065171;24,7241741071128
17,8167289398923;70,7405515946466;22,6971559710124
16,775912977162;70,8843605993967;23,2991569106365
18,1322101600076;73,3890719871564;23,9274691271066
18,5350305660545;66,1967403766097;23,7062093594179
17,8225207078986;73,4999135707015;24,2382813633439
17,3536742366442;69,1108050237214;21,8205191059676
16,0937525650825;68,6171429445144;22,7973277689538
15,9832593449702;63,5141758680378;21,9734057480818
15,0092172790046;64,1982828129129;22,7631770047996
15,6593284419821;67,4277333026188;22,1663309952493
15,3968222354706;66,2356342816019;22,280895851283
17,1170747050107;69,7139921845304;22,9922710025704
16,108522714706;65,2927582462423;22,6998442798824
15,7944505833711;66,4712900234602;23,1140014010564
16,9558555116506;63,233553569116;21,5000431087826
16,7376702973964;69,0594738949126;22,1678994523911
15,4239417185093;65,4608202167558;21,4268414387955
15,1002788997869;65,1369719263692;22,1750891527345
15,3028409369727;62,6689470143564;21,4912630142965
15,1040000897176;62,1312276463712;20,6574759085101
14,9027509381746;63,8667209295819;22,3453332418801
15,0035309859068;59,8515565906692;22,098217555997
14,9024721827487;60,3885918050779;21,4555618915195
15,7244192965483;61,4493946668292;22,3244139036486
15,399259857811;62,0541433879488;22,0812983578687
14,9354039118931;63,1227493439957;21,6180441838177
15,5029345312052;56,7285821928605;21,6154279926969
14,6598072081366;61,1850650479756;21,9781294599786
13,938372641499;57,7241614396785;20,6728208734503
15,2707019310539;61,1873218643207;21,2625033776739
15,6190390462772;59,1904096608129;21,3176087257505
15,3696403264098;60,7894075011642;20,4543646045343
15,3009504520776;61,8504904989376;21,9496686168386
15,1529370483548;59,8528027503041;22,1940855237492
14,0651674108598;56,5298455973886;20,7253604208523
14,7914156652966;57,7325649788198;20,3934631544998
15,059561991147;54,3110730138294;20,2450499420385
14,7660280771198;55,3195794091203;20,5619595223399
16,3783396898566;56,5663751049517;21,0915513037082
14,9861774378263;59,7697921242627;22,5584541816439
15,6685966861636;56,2898219532557;20,0150345625237
16,0035010281261;56,0440434060184;20,1726858368334
16,0175329413115;57,8128027690452;20,6067661510932
15,9403696254822;56,0479040125239;19,5370197978666
14,8061153497795;55,9306410862773;20,225890071587
15,2665493485487;54,8606726759348;20,1817194078046
15,1016638709342;54,5212273975466;19,3342898883367
14,2189421831826;56,2044688759447;19,555569213592
14,468835903263;56,9686746817897;19,3044271183577
15,1642853529096;53,9156045169963;19,170813189973
14,4369082753977;53,2149162108182;19,5950647001311
14,1944342783206;54,8147548972965;18,6432448684145
14,1228138699794;55,2892038451164;19,757045828207
15,2654243737593;55,6213621370753;19,5737259009647
14,7680400618229;53,8975119936192;18,9009948004677
14,5567632688871;52,922014503056;18,8113164746031
15,8608753015427;53,2627551637186;19,0142023771477
15,6761320156071;54,8383323483624;19,5114784102259
16,1917986994655;52,2539637121858;18,7817406959066
15,3922036535545;53,5450374387586;18,0582209122493
15,0064704857087;50,7844840056112;19,1821548104477
14,5342397570482;53,9001875619792;18,4124952411741
15,3981246274073;53,5211414047191;18,6470951523933
15,2227147939178;53,6521734607608;18,5085637308586
16,2212871496801;52,7655384955453;18,2522845683393
15,8852139145519;53,3889822939484;17,9521990600918
15,4593576027705;52,9365899461003;19,4018101057764
15,7305264712034;51,5867982132133;18,4830463397402
15,27739644067;53,3521520942834;19,4337479968291
16,1823140839272;53,1036171603279;18,693390762674
17,0646065466821;51,4592107923912;19,1678525712958
16,6950071783433;53,6727029983981;18,9780692162609
