R;P;T
765111262,543839;759925797,797996;1130289277,98879
172034498,873755;133617485,400702;152430511,307418
94573834,9522477;70192457,9101244;83358937,6852955
61923160,9829517;44017627,0667371;57047540,2406294
45252284,3208453;31294917,3276974;40571517,2665207
34910828,781671;24416066,9976815;33243643,6513051
29153056,7855456;19621955,6033843;27782659,5931585
24513838,188978;17750604,8776867;23645826,4120822
21969100,6568924;15043175,7859846;21042977,3082266
19579155,0063078;13080573,9212009;18355323,5327217
16255671,5952835;11380440,804347;16464942,4686968
15473775,6635342;10465603,1579191;14915239,3452063
14825119,6032237;9527487,99305819;13761088,5446336
13225296,5637369;9012871,89372524;12860051,2445927
12390896,7023664;8627859,98938932;12185444,074793
11295663,2195609;7704854,95892054;11490780,1448377
10544224,8972591;7230575,97688453;10528296,9168793
9688223,00106963;6444028,13362712;9562329,18301421
9646136,71920299;6379480,72696983;9899234,71157885
9644020,64625089;5905642,43821308;8777299,09639116
9314012,11371462;5920818,90760542;8453222,92550768
8204830,81517861;5547440,97599627;8357585,38752778
7995034,93833899;5369252,15408206;7599837,46015991
7722860,73587774;5241396,9719609;7762817,68433662
7261876,65718466;4944941,20927395;6727676,62750219
7251418,66336069;4928152,18811501;7029429,18949711
6772932,42866504;4644808,07167143;6838993,15378799
6903139,01374503;4514035,37329313;6485162,28122216
6578668,18843906;4226280,35282507;6052600,51443128
6369620,81581434;4397731,0604586;6275072,83653812
6418020,15781956;4275553,41666133;5995734,60210332
6091184,68266435;4105281,28887841;5976691,18933444
5857882,74903356;3944342,18289911;5588416,03894352
5539448,37245668;3714618,97832881;5480507,49528955
5820110,98523454;3767452,9849632;5642825,16961868
5502561,66570181;3558636,43072386;5197092,29357786
5122193,69717401;3407242,44137177;4858339,75336224
5232484,34385515;3541938,16508597;4919124,25962143
5081551,68948811;3345051,64100808;4796437,6469042
5140206,76611139;3296531,40252171;4828448,59927292
4784310,61319604;3412077,27993412;4624572,3688746
4538466,08149853;3222432,03402188;4498399,45824145
4303318,03937266;3009411,24787187;4153288,1017044
4383591,82854514;3093650,89557322;4329729,06212733
4346061,01836182;3015264,78177404;4304434,92004674
4212150,83026692;2871239,73823258;4266580,57566022
4094727,12662803;2951206,24707907;4022749,15226971
4087663,87536191;2848021,15539138;4038584,40615947
4043866,45384661;2805084,52041045;3837709,10042558
4103271,57541242;2806155,42958223;3803587,6245613
3920392,36192459;2670074,66508842;3797276,78585519
3726694,15366182;2537432,22632296;3459307,94656931
3774008,73393485;2555696,81761558;3646108,48622887
3781739,04458398;2605878,95371346;3421863,96718064
3540311,37201342;2419880,00817592;3512751,85916467
3616884,87557227;2393510,63134737;3352092,1212062
3743217,95197097;2418211,65119209;3458964,09221816
3731291,36374664;2381992,29645377;3545488,67873925
3747715,92805942;2382504,70599291;3493045,66139454
3389669,85260866;2328566,79223595;3234431,1619945
3497312,24039645;2299560,46923318;3394044,64878717
3609261,16072194;2287057,03586709;3378407,65649087
3456671,60322992;2276042,84187433;3309050,52539153
3192242,08024128;2236511,26449127;3363590,56514786
3120440,22159869;2176016,67854367;3176027,43259752
3283449,15591246;2105305,99815455;3129558,12660625
3083997,69436851;2067728,26523044;3131061,98572115
3301760,23368087;2025193,87339409;3085755,92819097
3158785,57693663;2141834,37173548;2894051,55841459
2957688,74415204;2113190,9502904;2929353,87865699
3053867,28320517;2042796,61648903;2821771,53436141
3068134,80402475;2059592,80471174;2896437,27429883
3046240,21419462;1994075,62251523;2822661,66586891
3079703,7897955;1998526,33457332;2932941,30226043
3149233,86716995;2112121,14639163;2728966,50885924
3004637,78944273;1946015,97094729;2784793,71562225
2894561,91492817;1927384,70293189;2802687,07509664
2943274,19419236;1968472,70783221;2862957,91849889
2777014,12863823;1902036,61208028;2678881,99284317
2913594,42052242;1883500,00854677;2683450,7483284
3015552,6455201;1929542,913403;2787036,25324718
2741696,85674111;1861571,10878428;2641136,13684829
2826846,37986768;1905988,74502606;2648878,06313586
2842673,8545424;1840341,07154235;2646113,50361269
2808185,1844071;1894145,03068509;2809557,33890416
2762144,64717947;1948785,73334094;2716071,87067472
2569573,97592352;1912624,32615426;2516917,29202787
2594492,21553008;1806252,62352909;2625797,62981518
2752188,21264084;1887612,68377007;2577131,16339711
2564064,22123602;1780568,68442872;2525510,34449978
2485312,56115991;1699329,82352577;2327800,97964989
2502862,32255378;1788753,49727739;2392820,69925674
2624834,40289042;1778416,52525868;2531173,82908954
2435529,64743705;1668485,97849218;2448795,63163769
2451911,57389979;1756981,06082704;2410159,42599687
2458956,19647841;1677148,35718737;2306401,28466122
2547357,66014048;1748348,97031825;2347367,45062436
2462679,94115274;1586667,77498208;2284842,21836274
2503750,53222641;1666260,9671263;2354772,34172991
2280656,80070957;1547254,74039936;2285696,55921781
2590555,39767162;1664040,32630638;2374813,53523121
2452596,33167648;1681939,8822797;2390182,55868333
2550324,32760053;1825962,17021004;2357365,8870336
2333790,28270723;1611071,91647629;2261546,50468324
2357786,7354363;1587879,94230098;2317515,88479974
2335449,49885079;1709212,77486586;2355562,22547337
2395551,09131397;1683738,66129896;2283647,55588081
2326936,99678778;1555148,7539948;2151293,01964537
2356576,41900725;1602179,97338495;2208999,08803238
2336645,79483175;1634564,91695434;2159597,88831813
2338678,66631011;1573685,17215876;2202575,2879983
2286580,92847839;1624859,04930329;2135954,14886192
2283981,48182489;1587082,63486821;2125091,84781511
2290006,47570593;1596494,65760485;2128329,87824246
2197265,59381757;1459937,96362964;2190203,82022404
2245304,69578257;1580992,18124042;2068277,98249286
2210999,7567275;1480779,85029694;2012348,73755488
2223160,28040414;1526147,16726607;2103167,29810372
2239064,13083643;1495020,09176317;2149805,63421022
2163619,4854484;1551221,70708657;2178477,5765977
2233800,72946027;1488176,67827325;2112861,50193104
2217183,70275988;1559062,41423475;2130005,45353893
2059720,56705053;1492931,20773533;1988794,71703324
2199129,6373832;1519767,10583204;2057700,33821022
2124150,9955854;1391819,04091871;2012454,6605485
2065006,71546735;1463811,66403318;1970240,38928091
2136966,67813469;1519827,78649849;1979727,49592473
2150275,5855217;1415805,22410757;1981091,08069239
2047753,11779574;1444397,7214665;2016037,36319298
2033367,00451254;1421377,64658188;2096686,24940649
2158710,22091348;1444810,8492851;2037098,21439496
2227922,01821553;1468108,42780595;2029190,34612056
2187154,81910118;1357879,42390703;2047248,80607915
2070512,20143785;1514328,61566624;2170569,8935964
2012155,02226225;1434834,87816801;2051728,42519478
2056629,80127839;1335488,8079877;2058831,11147702
2013122,51556736;1366068,65163797;1987462,59097798
2076785,58696849;1414061,710264;1973340,60181701
1998444,63922776;1433926,11449581;1850305,36495064
2125246,82570251;1436636,29384853;1990990,86209445
2010192,62904961;1389029,63481622;2020470,0796209
2027973,6162297;1405523,19892342;1958037,64807278
2060196,30835443;1383331,13933059;1994104,52748312
2091410,63647511;1382339,24724463;2000051,77525004
2088493,69589753;1264019,77049839;1894964,87836984
2261464,31219882;1367827,91939247;1907838,99313789
2020550,98695391;1299865,46709401;1779498,25841271
1965721,75703754;1237953,00507247;1860108,70423069
2042331,45656695;1362975,37801585;2005819,08761446
2024704,59778575;1357874,40781941;1880411,34686723
1915252,59577168;1319688,49718531;1831040,53259021
1865687,07080738;1258726,72913674;1775270,73856772
2028309,78110088;1308547,60391728;1873652,29946751
1976065,3531601;1353126,84523048;1798375,69613434
1908219,59757766;1303601,65533385;1884642,60276696
1786758,31324199;1320268,7858212;1959370,40199327
1895619,58529668;1260273,45842642;1765425,25511275
1986717,894581;1276607,16875656;1862103,27653867
1896156,87022855;1281608,22700247;1803881,79035567
1886736,13217863;1212069,52721128;1823572,53435095
1923340,02104072;1163657,58780425;1684179,46745072
1827381,80963763;1223571,42752717;1864763,94947819
1902367,61613753;1204900,6057539;1834383,01350915
1829278,58691415;1097402,52168502;1807284,60928547
1869676,79377564;1227061,0931811;1819043,10557565
1771269,64011015;1229133,04205859;1697483,90763808
1886106,4851114;1307073,88930955;1794752,06061327
1845962,56036699;1240527,48547505;1711563,37235323
1869485,0544767;1258505,54040772;1724102,66599009
1823422,23705068;1128593,68047909;1695510,83053944
1795064,46619481;1190377,9316039;1576346,30436081
1936113,01829671;1262305,48323087;1676752,35328945
1919889,59281541;1265261,70961588;1743771,40930946
1777614,63701618;1188241,2303708;1715344,92503198
1788992,09997596;1182505,89683966;1620400,6136006
1712768,02966214;1095176,38024142;1646847,19215113
1776253,08710175;1152652,34629886;1615635,42854208
1829421,47483438;1122754,16391565;1591623,83256464
1721107,53405757;1058455,06011508;1508173,24172518
1760642,39392948;1114829,79460948;1634395,07506525
1844927,75420862;1152084,33244786;1700620,96926624
1704953,93691518;1161852,0237347;1580407,95769017
1709361,49192105;1192182,72535535;1740344,27067571
1697502,15306499;1104905,6126576;1640093,68984915
1861803,56706132;1203970,92190461;1708628,84187624
1685662,79054738;1207182,79328593;1737661,0503791
1654674,5277513;1088790,93093163;1669572,14212256
1701301,08015511;1144422,14663275;1630045,62358818
1705936,85076409;1131645,02076391;1578364,19172184
1782025,21696224;1149172,93170814;1526513,62526752
1713023,50334795;1160075,88285619;1538658,42733221
1620842,39974573;1123706,26515156;1584095,88436587
1622963,39922485;1173590,56361;1520982,53671349
1647361,09727139;1142194,04962152;1574179,14740647
1748204,94270174;1048721,92918847;1557526,55107267
1681933,8685407;1125953,67935213;1538052,14946663
1641479,75136623;1107248,42938254;1649973,21069162
1682121,49305025;1075356,72112445;1445033,15472369
1664053,29631475;1119728,26021453;1587426,88894644
1731073,0997724;1174122,99740634;1532414,46536112
1557030,59143577;1117962,20853362;1532742,80142567
1618288,58923017;952773,27934499;1455700,95583282
1702840,4475125;1091113,05754493;1481503,23449393
1697106,58834974;1178723,17370359;1592530,62789378
1595018,50798248;1095097,12510367;1512391,14405812
1492181,67267747;1121732,31205113;1512126,20202862
1609695,46977489;1076398,14631219;1488927,34398209
1500274,15175054;1021510,71919188;1510390,47204087
1603797,51799301;1118841,22782038;1500668,69439468
1537398,98986755;1126058,70964497;1440308,78150238
1607425,2762996;1052323,80909098;1422091,41605781
1636916,21968348;1125194,74019982;1547059,00877255
1620803,68010675;1139271,41656397;1629644,88661842
1534639,55172974;1154775,03416455;1526012,85189697
1647938,92424609;1075684,09647229;1574525,83209033
1575930,29803883;1126014,11792292;1550103,58159674
1635512,97868193;1062404,90934537;1542319,91040484
1511562,30783706;1021662,45265473;1572937,63745993
1534862,15912975;1091055,76823186;1461694,81364655
1546986,23238602;1046226,52374725;1574797,48465153
1547131,35530531;1078441,03275736;1523855,42587625
1433458,26144976;994299,581260713;1490731,85399721
1433887,82355532;955106,264546041;1388156,2279928
1472152,04615555;1096999,73460447;1499767,98789861
1536501,07665518;1067813,48893797;1497645,53391878
1586257,63443046;1004650,867223;1585380,77004574
1387491,21385445;936221,900166254;1460750,61536507
1628666,49486239;1090232,45243442;1538172,8397382
1501986,43338456;988604,926633457;1435723,38642245
1525633,99500191;996207,044322279;1422428,35003397
1494577,1491424;1063939,37518747;1312160,96938358
1574466,77158711;1056785,05486149;1374100,61993712
1441335,46976128;1048392,19934023;1460973,56853464
1478933,63314833;1005597,67763593;1547061,64400781
1437095,85508276;980775,662131981;1401526,66440773
1498115,75834712;929394,055687092;1291192,12136579
1538590,7436664;1025417,58255502;1550728,77637826
1637494,4875282;1071801,68894536;1504345,55710426
1501796,77837113;1030283,570453;1453380,03080318
1609565,79910249;1027381,40832113;1305978,97785761
1390213,85197707;966888,608662481;1473774,25012148
1584658,26174197;1105506,00195409;1535322,7160585
1562963,04220128;1079436,92540567;1580674,60374995
1508417,30588766;1042674,30709144;1395012,51179973
1455323,08636505;1046904,09083361;1512124,07855098
1348918,40704102;1008136,69175275;1491894,58327751
1457865,79184626;1052201,10898462;1366953,23325846
1504646,83220209;958077,915967804;1360786,6535735
1461768,30107293;987794,687725509;1445626,97345854
1488902,60567263;1065579,84185272;1437366,18491315
1350562,05154249;958248,287040379;1287382,25814023
1356521,87224113;982405,220176866;1289019,26009115
1448324,45273577;1005873,56802176;1357023,08810226
1465215,10932348;961655,728529986;1500679,59483786
1515330,51488811;952716,850498851;1489278,9560011
1601232,97304611;1069951,47762756;1556034,55897217
1506855,93705554;1085005,81333728;1415328,81442569
1428412,91231729;989881,309463206;1422556,41207078
1467295,61253758;977775,145412044;1549678,0941399
1437771,20903899;913332,17196595;1411766,32775196
1427940,16330878;965535,57508717;1380442,80149893
1502185,59655009;926801,499501686;1302562,40167863
1401433,86979278;1002484,69929254;1366945,20710817
1453058,53218936;953184,691819282;1304256,7431164
1341105,4478663;962844,885434907;1378551,8219373
1257126,40113258;933898,206606547;1352055,34621514
1240512,26463265;847265,773011748;1214802,48895562
1222958,46217679;888355,952320582;1459501,36668632
1170260,15436011;915161,710037122;1287241,37707695
1430625,45629616;1056643,56755924;1258794,68780846
1576833,82096234;967955,843662935;1334082,04662334
1412242,22693905;1022402,94088903;1199060,32214988
1474651,71629402;898433,531493116;1281904,27273059
1338455,59537973;965279,481490861;1296928,41435583
1415649,90596731;1021355,28312098;1316102,16832762
1202869,90350365;1027641,7925452;1192043,29426344
1397054,40917229;946892,006111347;1326904,3908118
1331464,24406468;967354,443877475;1427171,72972794
1282922,4226207;938265,302006787;1298072,48885957
1257137,1366441;820512,429432091;1297529,22165715
1323506,98807212;1112771,44218812;1387507,30013021
1349436,73038673;1063521,72739792;1381657,62438583
1435669,77367496;936164,369265556;1428864,1486485
1430622,59523779;1079182,03638184;1335790,37156885
1515702,84691016;1084894,26802783;1417249,09340527
1221703,05597613;1034262,46761199;1564606,24418394
1396494,0551181;1116666,25646253;1498758,02731844
1461120,5943683;1113375,03005676;1512686,68194834
1617847,90884603;955317,409102376;1270587,05440267
1417887,10832926;1043990,73948161;1232383,57537638
1459780,10475871;896830,02230587;1183859,19332275
1515066,4350732;928130,809019431;1252400,97515087
1485905,94737971;990444,614698178;1187004,3933847
1459691,34958872;1026837,88170524;1385608,31333106
1392992,03776829;978032,564655919;1209706,88276656
1836310,73805578;1077222,82898811;1538383,52360696
1753260,65175665;976783,592362177;1422701,1119036
1839362,20574532;1033319,12186394;1377166,781073
1366005,83003853;1080446,89415308;1352303,57334632
1600968,46839425;1068769,30341797;1420766,59462193
1812267,13997875;1168319,0014792;1252219,77449664
1894559,88348796;1276995,45968018;1556161,37046712
