R;P;T
8801278,44528298;6644483,79128807;7574301,86622153
5837897,2192261;4139887,56434332;5609556,44451783
5513529,7437509;3822854,563712;5541218,70672296
5015424,18446364;3423640,91694133;4675875,16857624
4971327,96236096;3325621,30083256;4863798,49899162
4838913,55418574;3007432,21166508;4729280,55052727
4725423,91618747;3113819,96956966;4642530,42296205
4844180,92676868;3198933,278781;4967590,31657776
4452917,19706711;3065608,57848703;4361079,1352096
4296551,08285244;2855451,11733839;4573515,65229484
4792582,08831827;3128138,73357903;4949243,55450347
4665377,05864016;3138436,00219037;4699981,48062941
4830223,10448269;3202120,8174525;4897723,57803076
4444931,18204868;2923633,40812968;4564847,12371234
4473073,08497071;2906903,9050408;4626932,34946294
4809262,24436083;3072269,47658739;4773321,28594749
4497620,30459783;3002581,29362287;4325428,47373134
4724112,67255772;3083955,55631018;4674843,57649965
4610941,78016957;2846717,07435113;4326035,84100902
4574629,44159514;2884773,57624954;4251562,5074562
4222797,11072069;2819016,18246393;4003033,73902629
4203416,37029146;2895389,53500609;4060137,66934684
4312494,04194623;2833446,86429243;4380587,17442968
4255891,20034949;2797189,50096828;4096251,45809419
4544283,70569324;2979143,438943;4429432,82841329
4431081,37984479;2907824,57900319;4161208,05721312
4354426,09985264;2938771,73213466;4143680,44011738
4386469,29266428;2839518,41060218;4207478,85721781
4533530,00640329;2876943,09125629;4447853,96586592
4455348,29519519;2706092,94085085;4162321,93903195
4150260,11281337;2791485,5764064;4321569,73576026
4181833,33336553;2739761,70275459;4034271,91688579
4051775,63180155;2640926,89720473;3898469,4148237
4242413,86373359;2851894,99682078;4000073,13794407
4044752,52020656;2808074,06111465;3930165,40607501
4071069,37871477;2785651,02222358;3857597,79757302
4084970,50265691;2893970,57450388;4052238,95334291
4203155,05131356;2873785,78094663;3845831,09859176
4147398,51008075;2745488,97368832;4062134,86448556
4001034,90733269;2802175,3825109;3813800,9009096
3953781,30791212;2773217,53122238;3833799,09586659
3870131,15889659;2629708,02319633;3734712,63139125
4083771,86134938;2721728,84401671;3900534,84155276
3978534,34267903;2728630,80930762;3822372,1476672
3968232,54544304;2637147,17216606;3911792,36026113
3959939,30006356;2851291,1319318;3859582,79726749
4010541,99593393;2837078,71672295;3913805,84964295
3793209,11278936;2625769,30176985;3711085,60106533
3882272,94090261;2667511,15254576;3809027,21217941
3877816,45054611;2662813,55814944;3655550,93098594
3880499,2283498;2620711,97803444;3701961,09399205
4045603,21942224;2788642,5663715;3887492,22549056
4068573,07169296;2892640,14151898;3838129,58170369
3910237,14840921;2636397,00087199;3801407,79199861
4081462,82134013;2600350,83590448;3634292,61529318
3978786,04728793;2692118,81594904;3800670,34594276
3920369,39909405;2586697,81727298;3804592,753244
4002792,46909359;2597133,90076856;3856292,61901682
3849154,19410579;2621812,0376703;3579296,66284083
3721438,04334013;2515068,62913394;3672827,86053234
3897903,36399286;2487910,65357283;3717521,75944026
3835711,08271667;2547917,18614815;3716979,03552401
3639038,68796633;2528394,32524805;3726842,2523735
3606919,17753278;2556268,8197612;3641034,74132541
3794323,5705077;2446318,02646097;3537133,97497443
3838944,41733117;2539873,20570034;3660536,54898262
3959403,9924664;2576104,3238093;3603291,98050224
3686648,65473798;2488984,05693288;3539086,94933357
3649345,76502832;2447650,18627406;3565352,77502216
3712375,88621991;2525501,89693728;3536408,43477546
3787310,32404067;2581503,86057101;3635888,49125712
3853493,51333205;2492631,37145821;3487209,59847523
3741611,16124978;2413743,45160939;3646605,7294935
3879055,27922378;2579284,86893119;3395290,50689078
3909945,80313571;2383271,11427539;3648001,11452195
3864713,73990057;2463449,32263068;3688743,76063418
3763669,54452643;2503214,81554609;3621249,23382624
3722938,68607374;2478281,57834238;3541273,49785539
3689780,90704276;2406192,73564417;3517312,74994171
3750131,65987116;2564834,87093363;3624444,02153728
3736612,14253946;2485199,36988877;3551206,35229572
3853873,26733323;2574803,27390953;3604180,18280636
3743123,2445513;2528908,80838361;3593654,50465201
3779151,72596428;2606001,84437003;3716371,89372234
3747317,5646491;2576861,03141767;3561528,43840663
3542315,65057606;2494650,06651798;3462107,3682016
3637651,90474088;2473263,78359976;3564686,60389983
3680465,12818527;2510196,54036187;3314149,69700765
3397876,47960377;2299716,54501147;3208912,72594193
3371608,33617351;2321119,22814127;3183764,95778767
3321357,11202385;2400722,73145666;3113536,38286536
3501970,26381569;2371245,75263541;3365284,02211534
3240363,43656336;2214334,93888358;3174393,84783207
3390796,97799656;2423294,93087242;3374186,13646863
3472529,25103372;2429856,14362402;3319413,63169081
3563095,30489342;2463668,98296685;3464849,54755954
3460402,91606874;2288328,17545498;3338949,34434137
3564140,99260343;2475822,25725194;3415564,99936694
3303608,83078832;2286996,00664872;3264599,8735083
3685967,66433795;2489761,89242785;3456150,3105411
3463437,53917948;2411374,86773907;3509902,00810613
3640716,92285956;2498074,44485803;3242123,00687867
3406026,84641344;2271189,93873666;3141300,58911506
3531787,1164361;2337437,1109999;3258553,6108077
3325243,15823623;2458821,52459052;3461887,62828273
3502357,75504061;2457845,89382733;3212201,26911608
3373656,97175571;2332755,04707636;3086549,65590413
3427486,84871918;2353556,2205435;3284839,75772122
3523253,98528066;2449399,65231405;3152961,43398611
3514468,06891905;2344802,80849173;3302120,66522275
3448270,37191032;2429509,29797222;3193898,1884233
3437141,19382043;2460795,25604996;3255906,74852492
3468961,37451822;2409709,56581382;3226819,75723425
3317498,87681471;2201009,01451733;3184257,47021159
3306982,86280471;2528297,31066998;3120741,21375955
3389919,2538761;2314228,91403944;3189823,65230962
3520289,06948275;2330599,61955252;3278447,44114237
3378997,79345713;2313138,84777722;3307582,96314929
3317931,16111532;2495180,26559926;3385660,16257651
3361167,34220427;2287815,86397744;3095459,12081548
3559426,42773857;2385199,31816366;3253569,52741946
3318798,53094991;2336410,83129145;3167580,06736027
3407882,22240067;2305293,75186791;3191137,10634186
3314031,3295367;2179821,29627102;3173643,45196733
3389288,86486282;2246384,77889744;3113286,53990096
3352598,54320292;2373412,75899285;3151900,72601817
3312599,66232946;2241347,00264065;3186850,56082387
3226763,26057039;2254071,97953552;3213069,31283571
3374784,2552251;2173320,53718026;3267262,45154935
3491561,52749483;2325613,31156139;3245839,07062361
3506294,64435479;2380857,70383118;3144544,18730854
3402566,19121189;2213412,82253356;3174978,02595266
3267696,31958802;2432403,63761863;3381531,14154108
3247950,09366655;2279985,97931509;3171346,08138267
3296405,24926059;2257973,87828934;3306918,25632679
3399547,75354294;2269227,3736973;3300806,74364687
3362211,75082701;2342627,99879563;3209536,84243061
3247483,22037717;2270291,81181259;3068273,11310041
3426247,56088237;2368754,47677883;3231170,06109332
3324390,62221707;2344903,39297438;3432771,16365919
3283312,58539258;2251991,99132943;3193034,34532468
3474949,12520184;2220666,72293786;3218503,53686909
3515891,23668593;2326729,75364361;3271803,37703427
3488006,86597786;2098657,97642094;3137847,6401081
3649565,12667996;2221145,8314758;3044506,41843202
3335628,4527539;2145738,99681224;2819481,99171832
3252848,20170284;1998668,38284849;3173595,06340603
3363447,77608875;2313605,14325402;3270758,43460606
3357072,54860083;2240234,35668908;3037745,9349097
3260633,95148702;2234462,28316397;3072774,83871661
3283596,47397578;2127082,02396852;3058666,48783151
3468763,95531787;2209629,31812614;3333826,01926746
3340670,67127777;2263967,5098962;3084875,91933556
3226122,46524767;2112018,46654776;3116101,0865654
3079440,31931774;2132458,72484842;3264840,58140741
3233241,63774199;2088382,08529727;3084923,86786237
3383469,01702007;2162372,88817787;3138325,21219969
3196305,09151312;2186887,48304563;3164156,83797741
3192651,11467285;2054919,51020947;3127686,70931852
3146710,21519022;1992739,08341746;2996537,89200545
3279454,24396025;2144569,39199639;3308923,17095931
3327577,83233369;2083397,12725991;3131809,47725412
3262251,49156895;1954340,73993628;3029647,41238825
3273113,86541448;2106196,01792942;3121730,3736947
3018094,95890957;2093165,39002079;2935207,11184803
3409094,51027777;2232803,53134155;3044817,94900824
3185012,59146683;2140100,15522127;3110562,09901433
3241627,71807363;2150739,09170104;3073334,51659422
3208384,42924695;1970470,73759008;2939529,78449648
3092714,72646204;2087993,81022421;2715167,47215158
3371370,68528073;2200523,12653413;2922374,68508517
3274382,1017508;2168008,33596681;2886834,45018604
2958990,80035279;1944947,09116424;2689022,4838128
3037526,34116316;1999174,40348496;2668916,13070867
2902430,39125427;1896743,76033529;2817374,0711403
3084466,99922212;1986471,45256653;2872329,1649703
3160325,05039514;1963989,29239501;2847481,25080589
3054203,00722928;1840629,00439337;2742394,25110368
3154804,06890367;1989049,99370285;2983601,9555922
3311226,40068103;2005037,94106288;3068380,92493503
3068295,27018867;2087076,69610955;2883235,65554204
3069016,37039235;2112419,36450556;3161641,92695933
3054195,88152492;1986859,44536004;2902307,64870138
3216169,59523418;2189738,69373606;3000445,63445456
2969661,05501946;2116662,44796265;3072128,67399434
2831602,56837596;1927340,2790609;3007405,19369296
2990353,5519254;2055531,97359916;2822913,58265229
3034495,9650151;2014371,22116914;2783433,5479094
3200017,97178805;2085345,48457683;2689420,30356921
3065639,3857123;2095909,31928201;2764527,41723288
2892233,4057718;2050296,63699174;2893855,09844772
2914818,83428892;2085638,81757813;2728878,63518508
3027390,06839625;2030617,69912042;2963475,78460312
3291328,99625021;2014520,41657966;2832564,47236123
3160636,76817327;2095199,91054896;2895194,26297562
2952482,72382044;2035997,82746404;3116057,43303216
3046376,89028399;1984666,62418178;2757737,95880366
3036840,02855264;2045214,79077542;2999006,04857961
3013824,50639988;2155645,95155527;2812852,97750204
2811598,81382524;2044158,21357461;2785180,96961648
3010639,44678625;1709393,7450664;2675328,59153246
3136745,3729947;2092065,25175431;2758912,84224477
3088258,7843886;2132054,20921629;2910013,22501429
2935430,66724396;1937922,93867941;2720063,99846335
2812453,80835535;2030288,45056287;2675415,43474762
2950910,22883657;1976767,27907452;2723964,6971068
2815107,58485167;1886040,10890478;2828480,79202853
3053127,81391872;2064944,04407289;2812212,16923408
2912011,14867329;2087982,19290208;2645678,49774121
3083010,28294963;1938569,90827316;2661249,92094053
3113827,29211366;2168458,57572668;2931870,97842611
2980111,76337851;2138489,5987326;3008345,23242575
2833091,68794629;2177390,98443213;2903133,74031165
3048213,46844374;1953997,78397803;2879076,3555852
2941043,75401067;2078202,30087709;2870693,34471578
3035235,27024934;2040466,50610846;2916875,37192847
2806169,08931407;1912181,78257576;2934395,70290287
2819223,75117127;2039350,88472048;2717732,86999512
2851084,23418884;1873858,79437968;2888233,86701075
2831765,09735746;1960657,43572781;2761437,02571036
2728920,06579641;1840334,70969928;2691310,2323508
2757510,86549491;1833906,58648123;2611372,44149222
2795614,20215209;2038096,48840958;2790316,39330686
2888341,73085906;1988954,559958;2768032,57440107
2994149,81842462;1914164,0471928;2914911,81335383
2609740,08577861;1760457,58644276;2748674,67974429
3015040,09689481;2063856,38233062;2992823,02563263
2866600,67605335;1869989,34173019;2697175,75937461
2968326,34052293;1900919,14808688;2747050,62951191
2820692,53844125;2040912,43505532;2587899,85174704
3008574,04761212;2028892,49396415;2638494,08698366
2731082,93666679;1981344,22437475;2740970,41474509
2777065,90391098;1915696,08810776;2917747,86384829
2733992,435895;1897838,33655237;2689235,31999201
2912990,6477469;1820168,77093562;2527195,60973757
2991694,69225079;1940461,00174419;3087790,79105594
3129721,65816931;2035472,78328049;2967777,61525845
2850496,83978311;1971233,95074117;2804244,72302822
3035268,53766044;1940237,14176723;2463174,53582531
2692023,32795634;1909016,43658447;2839308,89404592
3070560,99731088;2140524,66589385;2975483,98056105
3014984,68322512;2036413,78479427;3013097,30082113
2901384,5201765;2013516,63983094;2633301,33233582
2816968,74617322;2031011,74246306;2985305,46491506
2580910,60867676;1923095,40549957;2897054,31670288
2795078,72164685;1994202,20757902;2666253,92095142
2903092,20083461;1879127,34513304;2632650,07222535
2873474,70478002;1926499,58606857;2735924,18250154
2881742,90288917;2042397,64059383;2791341,25580224
2623957,43267491;1882438,85716513;2464463,84836744
2706539,74947171;1869585,61726685;2542529,683648
2818307,57995693;1907174,76165179;2656921,11358817
2889256,72725776;1928600,06804343;2949711,96821576
2994091,28657941;1868136,87820211;2926018,5520749
3088050,79722748;2072588,76651001;3023489,96977692
2921111,58539953;2077927,26006219;2751527,19127792
2707946,22045741;1890053,27200101;2676507,71323651
2669599,44874412;1832349,79006476;2964998,92525121
2708683,84895405;1779202,74991327;2742037,9608347
2687715,6906218;1913468,8091869;2703514,78526439
2971550,22990355;1822549,89675276;2562507,25270812
2706121,90611288;1898690,37157869;2622522,76734067
2830164,0734462;1795321,95828874;2575832,19114204
