R;P;T
3145,2365318345;5248,62024777989;2106,33400535335
1574,43446559658;1740,74908825474;2291,88264936929
714,901190454035;897,006822882245;708,426885312011
619,345848369859;856,620262748102;843,052492730993
421,239971919956;573,698657487156;344,560569145821
419,22534641363;683,197037482061;502,842760854815
336,724732326029;485,92134105126;269,164876144233
308,679905390204;414,517770020049;337,998474204084
270,663319545341;370,103448713195;211,001868091016
241,073299411811;375,249544258926;246,141679066581
218,809063561973;335,633213850821;193,621861043156
206,405046984758;359,550284473581;210,421769796244
185,595379227082;328,584480533647;176,805543924982
170,522142751932;284,276253186667;176,266089278765
151,469854294305;257,058940478717;154,140450367048
149,9168163428;265,507601245538;155,537205861442
139,357354599024;236,712519495711;134,038721794673
135,125531850654;243,543370507181;139,130792365784
118,758356659668;216,091428911016;122,896826786321
118,147830679534;192,622370473398;122,114849331133
99,3457605241449;155,405320308151;105,580393197542
102,090198225818;154,664754023269;109,874268793975
88,8165718266891;143,981878165664;93,1589797895882
92,6391448207445;144,970987557404;97,7005516166312
81,0445896295977;143,712568191841;85,2527252925483
84,5941766578247;148,971386255154;90,2814553667564
76,897325569878;138,775549047412;80,6030462220096
78,1117642637905;141,850215027795;84,5333077437378
72,1124133007718;132,156661075085;76,0843864250676
74,4399888237827;135,812709864512;80,2483412270884
68,1570130782776;135,085464098295;73,0722199703628
69,3719077120321;136,197840483982;76,224601164163
67,2683181149716;135,157474195409;71,8464491061765
68,1533547945608;143,922373712361;73,6873285717178
61,6914162806102;138,733254213703;70,7150673004981
64,5275425247759;145,457460645706;71,4163446865928
62,0142356872702;142,539786647694;66,8230390393126
65,0365973760043;143,674840265003;71,1277391999479
58,5181525305074;132,736673962494;66,8908846250524
58,9961526059226;130,129680820767;68,0660219882442
55,4533535658031;117,824336590368;63,2535164910407
53,9640197716757;115,359812093356;62,9884158438331
52,498891043778;107,823505723897;58,2823496370379
49,9186404943953;106,11363622836;58,1705291626276
48,5624170349615;96,1548432004507;53,8153886485814
47,4743270254474;94,8686230320068;52,6933099515073
46,9200610593486;90,272381335679;52,8796793690785
46,3022482267985;86,4319118646483;50,9163987515002
45,2939478969131;78,2018664975467;49,2395635150235
43,3100796789782;79,807336290569;49,2030032287103
42,3334834822378;73,7086741141868;48,1294194047745
40,6977154056624;75,9178346268919;47,2840622500822
40,7505823805972;70,3645846502277;45,4356022374022
39,9925439259905;72,7845682530004;42,6817370061356
39,8017745169411;68,3257676107181;43,8969776972642
36,8455585008715;68,143564956312;39,8601410711781
36,5037904354796;62,7837233238312;40,9185752259532
35,2717235730582;63,3766506194241;39,4580341620474
35,3497788777652;60,4532310695282;40,7388126241503
35,2383859297689;62,7328900468498;38,865662115776
35,3443449451733;58,6858511388122;40,8568990873988
35,6271205746092;63,1155372131785;37,7611361780663
34,0252793483085;59,7308318787014;39,9826242992788
34,838503550427;59,7017274699013;36,346558943719
33,9265989424596;56,2721367435556;39,2219983691122
34,3833885234891;58,7657961378607;35,8330202316301
33,9119499786026;55,8471961758823;38,7067159023388
32,9553078939226;58,4751339982944;34,4007153350689
33,4420400501646;56,9555923558571;36,3008736810295
32,4282404480643;58,0054111962283;34,6709561246241
31,9078140005679;56,9004516197925;35,3781308845708
30,5480007149793;59,5192875066172;33,0386933687369
31,6363174538211;56,9232203994662;34,7622396416223
30,1970116218078;57,9138077296152;31,8088411325706
31,2291642973088;55,3079699147061;33,3459101685797
28,0464724245194;58,1923876535344;32,315127066427
28,4577571089419;54,9739258391196;31,9436042244522
26,6009950521139;57,9921276041686;30,8376798974439
27,315153346681;56,8641351646517;31,786902653303
25,5649318615561;58,8238362764698;31,834692154996
28,7407555807739;55,7667190205262;32,7594058190435
26,347766033731;57,3668198029768;31,8866385350217
27,4195097521306;55,6711598930168;32,7538869744227
25,4533192262239;56,9360768385959;32,6761720942422
26,2326925308474;54,905929825596;31,8846075992233
24,7345731679919;55,8089293690152;31,0855060682842
25,0493308075198;51,7683679153082;29,954494282332
24,9839555422546;53,9258162266613;30,4263823367696
24,835547975415;50,0721959842524;29,9373897409563
25,0330667914955;51,3457687952946;29,1078452371155
25,0272937785127;48,5274508491813;29,720969675729
25,9203539995091;49,8406992155878;28,9355538807253
25,0339723642562;48,2225791726418;29,8203422055049
25,1832373762908;49,7448184106495;29,0649021429227
25,0501894532757;48,0700319393476;28,344204312505
24,6907500147649;48,396695001893;28,4471867551896
24,2260532060593;47,0750348188913;28,4437922436428
23,7027096611029;47,3851574923475;27,3034439178757
24,0429515537249;47,3713508342897;27,7950106299966
22,8739153390291;46,9893956320354;25,9925316687418
22,9658261577445;47,480875713426;27,2765826906273
21,3845663195484;46,5865962899223;25,0334386834413
22,4940913248039;45,8492482758806;25,4305092866769
20,2461383560263;45,564150665269;24,3037193445163
21,3562587607894;45,1811731457243;25,17691680892
18,7675021145135;45,6560300871457;23,8502952886801
19,7582094962024;43,9200103014374;24,0917957507375
18,5766776149309;43,9444116376117;22,5925014116893
19,1532936214569;42,334726552798;23,3695465838882
17,9240061881219;42,92072137695;21,4912082831232
18,9268991433412;41,4769849117895;22,2010300900299
17,941386000952;42,1176166781046;21,6039705175731
18,5919580907801;40,3172851029341;21,2688126907845
18,0075978089172;41,3298976447537;21,4272902006205
17,8453826225036;39,2673426618345;20,545500680387
17,1373188499971;40,6336840865643;20,3418646810696
17,478649492663;37,5408564567251;20,8915343407909
16,5962304877747;38,5057817209859;20,1395443748459
17,4724400830888;35,6938828060094;20,0089148191869
16,3328872728806;37,7610925089854;19,6865509532998
16,9940165059281;35,2722719290503;19,4918314876833
16,4151016007998;36,9741245095637;19,6448790319064
17,4713459804147;35,3667803081821;19,1687047845704
16,6239667370163;36,898064307908;19,1789527224426
16,8765194225538;35,4595283149726;19,1947024427678
16,4976549988331;36,5775313031624;19,0061324388686
17,1312444055199;34,8592327612631;19,1835563840703
15,9955178859813;35,269757331971;18,7208675471942
16,029400231285;33,3264532011668;18,7756973156069
15,2672730950025;33,6528312723902;18,2002905396591
15,3522974335695;34,1428023992659;18,9123807586684
15,2719974319706;33,3018989254582;17,5332970647824
15,9362336014175;33,6253587240273;18,4562211380574
15,1918735373376;34,9609713762729;17,8195868542031
15,9315279461885;34,2585331764258;18,6286016712608
14,8608498346203;33,7955602657876;17,807782216868
