R;P;T
91351157,3116536;219834030,584144;79820048,0010807
20100567,812227;20170684,962631;24713784,17177
10906806,893009;29355921,943894;13126805,9648649
6773324,14767604;9380983,2998054;9408491,92169551
4903309,01542687;12842189,7157483;5717934,1317064
4057563,47355044;8150459,51476148;5557593,67409186
3086933,37688196;7728523,92002759;3399135,18705054
2491504,16100385;4190189,68349561;3379154,36363285
2025660,19310308;5027254,94400299;2024423,78872028
1763750,32204992;3484176,69662654;2295109,69758736
1512033,46472421;3903611,61042328;1452307,34471556
1370566,20518184;3130878,67175662;1734030,63946559
1166741,18156093;2999323,1196563;1121693,54019718
1003173,03925687;2074558,45639385;1211962,95072264
906239,759897141;2330956,60291484;847582,310075715
828003,222236474;1780979,52996936;965896,024186134
757382,688644888;1892686,29540909;681014,027328638
700850,130143733;1545980,70976975;794874,398619322
622313,343397291;1504301,73232187;563951,548740909
596249,967488705;1152718,51159077;659270,330474786
507472,894467224;1172379,55807174;471409,694509017
504070,451962764;939520,056793672;567432,543438029
441854,963962731;994499,063179936;401958,112203246
438636,96524409;813215,630139117;489948,707811559
378981,421311479;860269,17740351;358370,135200401
382108,269599675;677661,340855994;425760,468610499
342731,005884985;737068,584530019;306250,700378288
330950,52888825;606296,627852721;362634,177171934
295250,668682284;641092,480834246;268573,9280219
298742,653780228;539137,676913711;321987,527709354
264482,95752323;569645,128372559;237958,917339553
255435,589187926;448850,484322085;274981,099474463
231575,134894867;474838,247622584;204008,564989277
226169,329138974;389166,29660639;241702,217877724
194067,211623889;395143,069826142;174175,147551303
198381,70059884;345527,326243967;211703,578230032
174442,737080878;346440,279464596;154344,266895508
177057,001131077;293454,127278355;183157,867007074
151970,607512772;296635,868011926;134837,978440628
154373,26261015;261012,970523746;162324,771439929
134855,592920633;249684,984269882;118217,833238335
136836,654049808;224362,826605179;146418,724530101
117401,387184724;223548,252012146;103483,548727234
121677,520108999;195191,842975417;129932,764434637
108850,804324712;196028,406621979;94099,8355674387
112386,186160501;179825,606185677;120803,519866557
101378,40761818;187419,615735334;91672,7717455276
104415,908300011;164222,013446721;112659,859946687
97383,7472096176;176484,606061198;84800,612174063
98196,9060255671;150480,282821412;104797,193436112
91686,7547390396;171557,029701605;83004,7331912958
93952,3442828793;148665,566799683;101303,165165183
89304,0932874837;162242,725609926;81105,9487179648
90265,7657229229;144299,316446945;97129,6522239389
86014,8315346856;157537,268039068;79297,0256553638
