R;P;T;RMinus;PMinus;TMinus
61,6950315035783;26,1467359455955;31,0842697190774;1;-7;-7
389928141,61039;1642825,78383577;285528,860706676;-77;-29;35
13813283,0775162;13558789,4393263;1462404,59874537;29;-41;-7
46680749,6136364;6162432,02275264;1977697,11880454;-77;19;-45
6069501,02191558;3727486,53855519;1018060,68822608;17;-39;-45
18004656,7646104;3136147,88475294;848805,217605393;-77;23;-25
5360434,18440544;2204274,45257965;707160,954120586;1;-37;-13
10855328,3782468;2083078,22172725;560455,242694805;-77;17;-15
3870862,44678369;1595320,62035182;518848,68692294;35;-39;-11
7215775,22564935;1611842,19233842;435453,539910651;-77;11;-11
3408770,85195566;1254737,498876;402560,972257936;31;-31;-7
5222138,65706169;1251787,4158991;349001,037420099;-71;23;-7
2519205,67633929;1086327,02773691;333034,445147626;7;-33;-7
3727856,01408723;1062151,56700867;293689,102946492;-77;21;-11
1976647,69328328;913141,365906554;276137,15311739;17;-37;-3
3158986,39143669;938273,039572976;265684,29422116;-73;21;-11
1807935,34517045;821435,830674209;246986,450252384;27;-33;3
2851213,375;833110,289734679;235829,425344492;-77;21;-9
1491239,65668121;755776,205046418;219998,638392857;27;-31;3
2270746,59659091;749216,067115486;215879,840024477;-75;21;-11
1403223,04509943;671943,392406909;201111,228426847;29;-29;1
1962884,96002435;660662,359875964;196773,323355935;-77;25;-9
1223290,38848164;597760,923276431;180547,213391589;31;-31;1
1679496,26972149;580977,51116547;173991,057249391;-73;21;-7
1034304,99411526;521183,935017375;163278,509951108;41;-31;1
1387464,94399351;506620,42499572;157274,311402953;-75;19;-7
842809,439985795;449025,410418622;141446,367566394;33;-33;3
1215448,68817218;438622,906074029;136928,815299691;-77;19;-7
695303,352924297;390299,618110161;123757,026358468;35;-33;3
1018038,5682706;385716,342805144;119868,164718826;-71;23;-11
593209,306019176;339263,877473113;108515,803337989;45;-33;3
852764,888976258;334583,405257584;109301,704212536;-69;19;-11
441630,829884634;293568,943793755;98275,025492086;35;-33;7
747759,010377562;284260,241065087;100291,020790001;-69;23;-15
401899,431128861;245147,793919947;92250,5218204647;33;-35;9
588649,673688616;246250,677861201;94644,9221381646;-73;23;-15
347897,243195769;217610,586879978;85957,8620431083;33;-33;11
566231,405742695;213610,896303648;89712,023073667;-73;25;-15
271187,192103795;197104,80668224;81817,2839926187;29;-29;9
457250,375524744;194355,158293885;85177,044346797;-69;23;-21
219350,746296672;174988,973447379;78561,3856597504;27;-29;13
390587,66960798;173209,785400391;81804,2098123129;-69;23;-21
181023,917772169;155945,489023184;74478,5351261288;29;-29;13
338979,509638799;155354,139648438;76833,8763166155;-71;25;-23
167105,378826984;140930,35969048;70959,2574383624;17;-27;13
302306,97289722;140534,471051897;73447,0718914874;-67;23;-23
149968,64002099;129739,257879876;66945,5023427195;27;-27;13
264898,8468188;130790,255348106;69013,9198933391;-71;23;-25
126197,051332944;117588,688698905;63855,4948215732;23;-23;17
245033,429555125;120644,072747763;66682,6856586407;-69;25;-25
137131,004914519;108438,990083769;61270,3850854651;15;-21;17
234954,659222491;110111,65818965;64602,0452801593;-71;21;-27
137748,144548689;102802,240702047;59174,5930310534;21;-23;19
234020,458762429;104951,617819254;62421,2850516183;-73;25;-25
134509,463231074;97878,2016962225;57408,1576284433;31;-23;19
237844,605033774;102052,512754741;61604,3007619757;-70;26;-24
136072,863389668;94208,419241855;56775,8331587942;30;-22;18
214850,214223761;97233,0780270225;58992,310965262;-70;26;-26
117855,144087942;89146,2153838308;54221,955409301;44;-22;18
