R;P;T;RMinus;PMinus;TMinus
68,8050291641169;21,3623139204786;8,63420096125919;-27;11;3
396425989,929412;738260,35027789;186756,591605871;-527;291;207
11238267,493672;5842957,65658154;1062166,20321158;-411;33;-203
52095318,8884454;3530329,46810477;1042863,31957003;-525;-229;-135
8332209,09228598;1487857,08920016;374702,904215375;-315;-147;-245
22907589,4101891;1716526,68498227;477576,468419923;-525;-261;-227
10885140,8391757;876544,857929647;246994,345925031;-267;-237;-285
14047166,9229517;1117273,93788324;310691,677861164;-521;-275;-281
5209744,81772748;674444,096767137;213168,561223083;-333;-307;-287
8874272,36213769;856942,320077386;250336,289914838;-515;-297;-295
4874189,84463957;552128,645656099;191060,14770436;-281;-299;-311
6941024,04771985;655261,446868435;208153,494163205;-491;-307;-309
4768112,45111566;452938,14283613;173631,686355038;-337;-315;-301
5430156,51525489;532079,927845162;182256,997095701;-471;-309;-323
3085335,97839991;388653,730006729;155847,71996819;-321;-289;-307
4138876,47806591;448163,625903013;164326,026086536;-471;-311;-313
2678910,5401638;334782,217198168;145917,018174628;-281;-269;-295
3305240,9598202;379240,03971532;148829,729577066;-441;-303;-299
2358101,79266101;289272,751407501;134886,383847123;-269;-261;-289
2652560,17352285;326886,69683684;133690,051015363;-429;-297;-289
1729396,67681444;258187,16947996;122075,117901983;-207;-271;-279
2017634,89546247;287710,807994759;120594,405432283;-441;-287;-285
1375828,00598534;225966,072714926;110417,018897895;-223;-283;-273
1722910,63874737;249907,988543752;107878,127790179;-463;-287;-273
1209364,35715435;199559,69457677;99465,3683358842;-285;-289;-267
1499330,26753709;219038,378026138;97112,0821010942;-447;-297;-255
1002734,93432679;177777,892397513;89690,9880962212;-297;-295;-247
1263974,20698694;193526,477572042;88562,2549316278;-439;-299;-243
899425,444765543;159134,777629686;81956,8633313091;-267;-297;-237
1105357,09842519;172230,931755856;80653,8485136657;-433;-299;-235
807832,827118125;143457,832823527;74885,030174249;-239;-279;-221
985243,936973969;153527,078759221;73641,7194031892;-409;-287;-225
662486,212505745;128633,57349038;69040,9521273797;-239;-275;-219
801244,387048648;138084,622669893;68074,2912787686;-375;-293;-213
555530,302823004;114806,585401378;63808,8732214599;-227;-261;-195
649299,273195821;123477,682753593;62846,5263308485;-371;-281;-201
475492,980718393;102527,526217831;59710,157077847;-199;-257;-179
551942,044242333;109638,176752991;58687,2578880502;-321;-267;-185
383109,594766364;92067,3735631093;55729,0906639933;-167;-249;-187
454647,620408515;98781,4958637398;54873,6068678976;-263;-259;-185
323186,785486968;84300,1851261684;52192,9281116518;-115;-237;-177
370328,349607323;90024,6486400957;50847,3087763169;-265;-247;-181
265688,621906082;76609,5222925683;48851,0711824241;-105;-221;-175
315868,20701853;82484,5379337856;47505,1417595615;-287;-233;-167
221154,600256245;70629,991621104;45770,0688531026;-97;-211;-157
274775,314435994;76150,7685393634;44283,2531582231;-277;-225;-149
199905,853159685;66543,1012886111;42884,8375428528;-111;-203;-157
260802,300171777;70992,5946252647;41568,8602685367;-331;-225;-137
183404,698787606;62773,8906185631;40248,262493858;-153;-201;-141
250597,430139776;66705,0453754585;39074,5739030982;-355;-199;-141
169250,384198101;59730,3336385006;37856,8094178144;-205;-189;-125
243864,41350272;62995,9879737149;36788,1987423055;-391;-191;-121
171587,531069664;56933,5435259138;35575,9896144955;-195;-181;-113
231701,442800211;60097,3491252867;34701,9602208498;-389;-193;-115
169708,627632757;54594,1696435784;33519,0515703217;-219;-181;-109
229662,470301832;57362,8183084087;32678,3152624242;-393;-181;-115
157748,35895196;51974,0119784315;31500,936735275;-245;-175;-115
212731,489992748;54890,0212022669;30795,5361197598;-371;-167;-113
143904,404707708;49087,5865146413;29875,2039064111;-273;-163;-109
196378,002796795;52077,8705307392;29286,78740156;-405;-171;-103
128919,476838953;46917,5797453936;28448,9334349432;-257;-157;-93
181904,077246914;49843,5526892269;28017,4130836807;-409;-173;-93
125591,723205848;45057,0315718611;27288,9808779484;-267;-161;-97
171460,453780185;47808,5867036579;26775,6122631073;-409;-155;-91
122033,700616111;43336,117001145;26115,0644984486;-258;-160;-92
163136,020198321;45879,9285437073;25644,9242052253;-386;-156;-84
121466,698065144;41904,598256641;24962,0689549815;-294;-150;-96
159934,530658658;44154,626561213;24518,2068918145;-396;-152;-80
116877,363944314;40433,9135667306;23807,2865536879;-264;-148;-84
161776,888733732;42640,6563101361;23353,6960941276;-400;-146;-74
119645,505727534;38904,1856163596;22674,9556129019;-294;-142;-74
156671,007928071;40981,1741761615;22252,9259080758;-382;-144;-68
118437,790340424;37835,5043546889;21629,2578758535;-262;-150;-52
151269,296286329;39590,2158206721;21288,7980914317;-368;-138;-62
117678,875603198;36680,6628165929;20737,0561642188;-253;-139;-53
145111,166510288;38067,8514028199;20442,0530307635;-343;-135;-57
113227,854019757;35358,4072616346;20054,1888619547;-241;-135;-59
132084,123290591;36769,8643272104;19800,1343114187;-325;-141;-57
103768,544460593;33956,7700046327;19393,8153749903;-207;-133;-51
121180,975837515;35354,3228463339;19140,8425412878;-291;-139;-51
97292,9905886465;32559,4056004851;18712,0701344894;-185;-143;-49
113524,495382361;33823,3693426944;18505,0473296191;-300;-146;-48
89276,9049715094;31021,2179597906;18105,898157094;-170;-142;-62
100580,865742864;32301,3634642878;17935,4437614003;-286;-144;-50
80795,0204899247;29741,2174037727;17577,0036386364;-166;-134;-60
95319,9557883804;31009,1852367504;17359,8993372982;-262;-140;-58
77368,3274048019;28595,0424181191;16995,4224460222;-156;-126;-54
92145,801408046;29801,4973518848;16798,9059341018;-276;-142;-52
75348,070379051;27706,0942967776;16484,0179838748;-164;-120;-54
85877,1988462951;28699,6348709867;16255,9821709491;-286;-142;-58
68343,3855034532;26899,189949941;15904,2281617925;-184;-124;-60
82958,6955348865;27854,036797575;15663,3914975864;-278;-142;-62
68339,5824814809;26058,6994218053;15297,3731082452;-162;-138;-64
81246,7068646921;27034,8727962391;15063,3631837424;-284;-150;-64
66539,992098499;25391,4945710414;14771,6598225393;-194;-128;-66
79620,9200903403;26233,4674239674;14585,7799387687;-298;-144;-60
66838,1912948505;24634,6370173532;14281,7608935624;-194;-132;-70
77408,6190277306;25393,5186780627;14069,4390773773;-282;-140;-72
64745,3482028858;23884,3069477468;13801,3991530103;-190;-136;-68
75662,4535880604;24514,4955831122;13632,5769236519;-332;-132;-66
61237,6908468556;23035,2161235036;13360,1755231007;-240;-126;-56
73638,871529025;23712,7390074988;13222,7702683178;-368;-148;-60
61148,2365218884;22410,4439994387;12947,7066689141;-286;-120;-58
74008,7194543143;23027,661018958;12854,3700779542;-364;-146;-48
60847,7398942355;21696,1310397419;12578,4402412386;-302;-128;-48
72804,3548734043;22298,183962706;12474,6121405009;-368;-144;-44
59790,0618483376;20985,7202060545;12208,95099367;-302;-134;-38
70921,247317675;21654,8895928393;12126,1105643736;-386;-144;-44
58110,4185647191;20489,5829019772;11861,1848296487;-310;-134;-40
68649,3909518892;21018,4180943962;11774,8132575676;-383;-135;-37
54780,836881118;20021,3942054645;11517,0730907598;-323;-143;-43
67343,7935097528;20527,7709422354;11425,5606870312;-389;-129;-55
54943,3057155835;19530,9979826383;11153,3157796876;-341;-131;-51
65232,860647379;20141,4323548189;11085,138378479;-391;-127;-51
55701,8664011173;19144,6371943866;10811,6572876041;-339;-121;-51
64683,8946938137;19700,8838654081;10737,933180901;-373;-127;-53
55958,8793720691;18819,8362729933;10492,4970285476;-313;-123;-55
63987,5459444478;19343,9437445142;10453,8329591025;-353;-141;-51
56615,9068460497;18503,2954686407;10241,1703381441;-304;-144;-64
63039,4985611479;18899,116017028;10166,6900019533;-362;-154;-68
54667,3247303074;17984,5105349395;9950,48177185705;-284;-150;-70
60871,3155228954;18477,3148973707;9868,61914797153;-348;-154;-68
51615,4482910156;17560,1694749881;9695,88067544896;-290;-154;-70
58250,0490453171;17950,5690297854;9623,80132029016;-344;-158;-64
50561,1911763595;17067,4267204317;9470,91380172826;-268;-156;-62
55255,4150377952;17456,3643836894;9394,936498271;-330;-146;-70
49330,8203904297;16593,7188356672;9249,47643234124;-246;-160;-66
53996,6991105419;17058,2804261571;9155,2857465647;-308;-152;-64
47283,1457993911;16232,7154006958;9035,79439897052;-238;-160;-72
50367,2082216812;16586,4083305104;8976,46064907979;-306;-156;-68
44269,7429398747;15776,6109911046;8837,31432731435;-252;-156;-66
48158,4533083609;16035,7022780596;8785,41814525814;-306;-144;-66
42464,3481387122;15345,0841273938;8646,84085671659;-278;-158;-58
46257,7840798847;15665,7174646547;8600,61197123851;-342;-144;-54
41539,2154575671;15044,2026549161;8443,54373075033;-276;-148;-50
45503,8032788875;15342,8044606193;8391,0916490078;-344;-142;-56
41268,6810022904;14727,9115394495;8233,64573019319;-316;-142;-54
44986,9266333887;14970,6574033866;8177,28556205196;-356;-148;-52
40035,3556787846;14410,706941624;8024,88444641889;-314;-146;-44
43525,4789137759;14652,8274688947;7943,07410560543;-360;-150;-42
39622,8323508117;14066,6848159952;7795,76990087477;-302;-136;-44
43373,5227584063;14354,7996570054;7702,8254062499;-356;-140;-40
38845,2213371469;13781,8935161251;7559,702540571;-276;-142;-34
41752,6940578008;14010,6751540091;7486,40567474688;-334;-146;-36
37990,2588759341;13445,8879304411;7360,17921126535;-314;-144;-36
40961,8134928041;13675,4288535167;7308,48603895398;-364;-148;-40
37038,2747352212;13183,2832293519;7193,92054915832;-290;-134;-30
39813,6597493834;13368,8354646812;7147,05705232782;-338;-142;-24
36593,1299505737;12862,0081718445;7032,35275290538;-310;-140;-26
39535,7601751812;13037,17040552;6978,78480344223;-358;-140;-22
37161,3660841861;12495,0614135063;6862,82249397393;-308;-138;-24
39825,3625328969;12669,3208064435;6814,68571470079;-366;-132;-34
37037,8836318323;12269,8898699227;6699,7975671752;-320;-130;-40
40519,8249095076;12422,3939251528;6644,86296544035;-356;-130;-50
37634,1970599676;12034,0974189564;6523,92105240438;-330;-132;-46
39732,8295468864;12193,2713494608;6480,71542303885;-366;-134;-42
37060,7572953596;11775,7831098653;6353,38638230987;-316;-136;-46
39150,306640528;11902,0512551001;6314,30872430882;-348;-126;-52
36755,2679723061;11522,6490512525;6200,84808908883;-314;-142;-54
38481,8034263352;11600,5942958137;6150,84141734495;-320;-136;-44
35919,4429235943;11214,1230425818;6043,31327719123;-308;-156;-44
37490,1330083815;11312,9553668891;5991,803191185;-340;-146;-38
35273,4795170703;10939,4650918039;5892,33009413703;-318;-158;-36
36638,0121877379;11036,0054300017;5843,06879965249;-302;-150;-36
34040,2996559693;10696,1446790129;5741,47483339956;-314;-148;-42
35058,3072737872;10802,0726752507;5700,99079419152;-298;-144;-38
32770,3106420178;10461,2487398616;5607,58151298135;-270;-142;-40
33649,8324269311;10495,3905342522;5560,70935202635;-300;-128;-26
31679,199216146;10170,8264313617;5477,0753118515;-260;-136;-34
32431,1100406744;10203,7321731263;5443,13478203824;-279;-129;-33
30306,9102780904;9889,03878752768;5355,67787787627;-245;-141;-41
29822,8526822529;9923,81456288012;5301,48512178568;-253;-125;-39
28037,582685979;9618,53140048786;5235,690305182;-241;-143;-45
28564,0499425347;9670,28918001891;5200,53581100166;-263;-129;-35
27826,3410259613;9348,30182172325;5129,93960839257;-269;-135;-41
27796,2549954141;9452,02967476946;5087,99286949695;-245;-125;-41
27162,8285305075;9174,19654452416;5004,545710288;-257;-133;-41
27670,5265200215;9231,16549193313;4962,52525563556;-267;-129;-41
26669,3951076708;8972,14181806276;4875,00228771653;-263;-143;-43
26743,7246470427;9008,76171309474;4838,40401016715;-267;-135;-37
25950,5574069582;8784,76129799828;4759,63356267252;-271;-147;-43
26692,6101015282;8800,62878323067;4721,52734563792;-277;-137;-53
25701,8453748667;8624,4113662588;4653,10010740996;-277;-145;-49
25731,5337689146;8641,63399317309;4612,16648688159;-285;-131;-51
25825,7651663863;8458,60678810296;4555,71506875318;-261;-147;-51
25755,6057015178;8450,53005138035;4513,5901450868;-263;-145;-53
25428,3563963885;8289,59592732387;4471,46981782703;-237;-155;-57
25711,2733017091;8265,32843913813;4439,42583814825;-231;-135;-65
25734,2933228303;8096,48870871549;4388,3270246509;-235;-145;-61
25408,7139412276;8078,13439879768;4362,00314614404;-225;-135;-63
25359,5906621742;7945,66853508844;4310,80843319229;-207;-153;-61
24899,9527553111;7930,92400248387;4279,99177166481;-219;-145;-57
25100,4018244565;7797,91230160514;4228,76074024696;-207;-143;-63
24894,1911106077;7754,4496743764;4192,3467525683;-229;-137;-57
24641,8023448225;7648,02426304882;4142,03208186691;-239;-143;-55
24312,7524346706;7599,47358237624;4114,42986390384;-225;-129;-51
24269,7118520559;7491,28765597449;4056,46436838383;-241;-143;-53
23675,4196819571;7473,43540074667;4022,52533408134;-231;-135;-45
23405,8546750598;7384,66846615026;3958,39551253796;-245;-143;-49
23058,1682030414;7367,96434219746;3922,88635015164;-269;-133;-55
23150,1228745206;7255,20950581303;3860,10875841474;-255;-149;-57
22934,2866083997;7190,61718127602;3829,3239431867;-257;-133;-53
23091,3482280271;7088,66989415044;3780,07519271856;-265;-155;-53
22533,7192087805;7020,69893141716;3759,35862855687;-271;-133;-53
22398,7819972799;6905,52745759669;3705,2184203764;-259;-167;-57
21953,2792016662;6828,75394940822;3674,48276807011;-265;-131;-65
21897,672094358;6759,13300808095;3630,09885905514;-253;-155;-67
21733,7652634846;6679,75787385575;3602,05141086919;-285;-143;-67
21645,6722659385;6617,25390867547;3561,97069826909;-261;-161;-65
20777,8974339173;6586,23588790796;3533,00567173027;-251;-145;-63
21055,2500736386;6463,4197363983;3495,20998295378;-243;-141;-59
20451,0647438192;6403,57707070778;3455,86290526006;-225;-135;-53
20663,7143994511;6259,79478436617;3409,41266516772;-231;-141;-57
20200,5098771021;6194,54760522308;3370,93885280766;-229;-131;-47
19986,9543243564;6081,1910812199;3329,76539955155;-235;-137;-47
19352,2444391866;6035,9362309989;3289,11070836623;-209;-121;-35
19827,8963607568;5925,95306731363;3248,48057999311;-241;-123;-35
19333,564797892;5907,92274218504;3202,35662480728;-225;-125;-41
19962,0647577697;5790,22697857726;3179,03951018801;-229;-137;-27
19164,5130342441;5759,63621276911;3140,59635902787;-229;-119;-29
19220,4876131663;5637,80826909028;3110,40219029465;-243;-117;-39
18489,7354391605;5599,06018373881;3073,79014427188;-249;-119;-31
18416,8212781317;5503,9648219515;3038,77639671821;-251;-123;-35
17826,0576156849;5442,22231182947;3001,51001332085;-233;-125;-33
18173,3150259837;5322,65403810705;2958,62819128166;-237;-111;-27
17633,0004644483;5280,93110833053;2920,87349919593;-213;-113;-29
17399,3366271118;5173,3352188303;2882,03479291714;-247;-113;-23
16933,7041382522;5126,83651485913;2852,66251532296;-203;-111;-21
16958,4919898611;5027,77086223973;2798,00841249311;-219;-121;-17
16690,8283667184;4967,91157148103;2772,95381027733;-191;-115;-15
16962,3565304243;4907,99516220773;2728,37659385614;-201;-119;-15
16758,2171447706;4845,41986748642;2715,66204390825;-163;-99;-7
16771,1653835834;4783,68716691528;2670,28627938123;-159;-107;-13
16810,4982505371;4733,6171960944;2650,47814783702;-131;-93;-7
16928,6033381736;4654,78454683754;2603,48898773971;-147;-109;-7
16516,2525544709;4585,70874011142;2579,00831473309;-143;-95;3
16478,4012107169;4526,73304837871;2536,42617188771;-135;-123;-5
16314,3012778213;4457,89841406617;2515,27146055176;-107;-115;1
16387,2403176248;4440,7723472677;2471,16122413005;-145;-109;3
16345,5979711924;4376,92159614923;2456,7701344061;-137;-97;5
16601,3247578852;4342,04057893931;2400,49742049216;-173;-103;3
16303,1432296805;4260,63957502067;2383,8070319304;-147;-103;9
16269,1837913776;4186,76860172143;2327,29477104003;-167;-109;11
16008,8979398083;4107,23222163765;2303,15534143648;-153;-93;15
15761,145283446;4057,13935630791;2253,29898326778;-182;-108;8
15418,9253878228;4011,95167225488;2233,42950803717;-161;-81;5
15406,460661924;3973,20263503407;2187,29994192979;-175;-97;9
14747,0880896294;3992,90588736369;2184,88972855068;-164;-96;14
14945,0191131646;4031,87693195318;2190,81502832846;-213;-109;1
14571,9033411995;4098,03858762741;2215,34109820521;-179;-87;7
14744,1931646527;4110,0832361796;2199,11149408091;-217;-111;1
14573,6617791878;4127,85599953319;2210,37168479528;-208;-104;8
