R;P;T;RMinus;PMinus;TMinus
68,8050291641169;68,0266450141157;69,5571255129926;-27;-27;-27
396425989,929412;396785449,344538;396504322,957983;-527;-527;-527
11238267,493672;12515808,7946461;11180113,1313419;-411;-275;-407
52095318,8884454;50382487,2743697;51697918,5495798;-525;-521;-525
8332209,09228598;8093623,44715074;8260129,07180607;-315;-287;-315
22907589,4101891;22124810,1273109;22684141,2502101;-525;-525;-525
10885140,8391757;10712773,4443606;10843762,0797925;-267;-249;-267
14047166,9229517;13516021,885281;13895276,8414916;-521;-517;-521
5209744,81772748;5005811,81511949;5171261,05072873;-333;-317;-333
8874272,36213769;8504710,36785714;8768332,56189601;-515;-507;-515
4874189,84463957;4701536,12187828;4838578,1965172;-281;-269;-273
6941024,04771985;6666023,262651;6867196,08957458;-491;-469;-489
4768112,45111566;4612464,87909007;4738300,87193952;-337;-315;-331
5430156,51525489;5208977,82474396;5363426,01028755;-471;-459;-467
3085335,97839991;2956902,0608817;3050503,0515356;-321;-305;-315
4138876,47806591;3957096,43682379;4082772,58553087;-471;-457;-463
2678910,5401638;2591587,2430541;2667604,88287815;-281;-267;-273
3305240,9598202;3153726,79369091;3263337,45616301;-441;-433;-429
2358101,79266101;2267896,50358461;2348293,15911937;-269;-223;-247
2652560,17352285;2530520,17454208;2626153,6224675;-429;-421;-417
1729396,67681444;1644685,34843873;1723435,38612132;-207;-167;-181
2017634,89546247;1903320,57810818;1997812,98415691;-441;-393;-409
1375828,00598534;1298786,99445083;1371638,03946749;-223;-187;-217
1722910,63874737;1611606,82466354;1697237,57518218;-463;-453;-451
1209364,35715435;1141491,77412304;1204880,40710449;-285;-225;-257
1499330,26753709;1405723,10555574;1482182,88845564;-447;-431;-433
1002734,93432679;945845,168517707;997711,547231004;-297;-261;-293
1263974,20698694;1185803,27793707;1247302,56747416;-439;-415;-427
899425,444765543;855704,761623761;896151,499041081;-267;-235;-257
1105357,09842519;1037151,03125492;1089505,93389082;-433;-409;-419
807832,827118125;767577,48067273;806681,271538127;-239;-205;-229
985243,936973969;926710,275951738;972787,637583705;-409;-395;-393
662486,212505745;630959,067351218;661924,050163666;-239;-207;-209
801244,387048648;751152,441464682;792330,37248925;-375;-359;-377
555530,302823004;528864,357070436;557051,165633822;-227;-177;-209
649299,273195821;603620,819011492;643245,268315471;-371;-339;-353
475492,980718393;457091,668821088;479720,356769671;-199;-129;-167
551942,044242333;514763,102273098;545892,862726907;-321;-295;-309
383109,594766364;368204,257461163;387614,28260339;-167;-105;-159
454647,620408515;426817,081456135;453859,634623654;-263;-233;-255
323186,785486968;319821,392684398;333679,272092675;-115;-39;-83
370328,349607323;346827,710934423;371081,065494518;-265;-227;-249
265688,621906082;261791,994430003;275465,547850537;-105;-21;-75
315868,20701853;300152,839412914;319318,171979042;-287;-229;-253
221154,600256245;221924,419103324;230127,615258481;-97;-15;-71
274775,314435994;262314,27287372;277482,948357744;-277;-205;-273
199905,853159685;202611,924188335;207184,866040757;-111;-29;-65
260802,300171777;249011,381834501;262752,206743231;-331;-261;-325
183404,698787606;188098,203770171;191297,377584057;-153;-75;-125
250597,430139776;237366,399846335;251568,554141774;-355;-287;-331
169250,384198101;169130,60507751;178358,899157407;-205;-117;-177
243864,41350272;228307,117308339;244988,675876239;-391;-327;-369
171587,531069664;173451,207853532;179474,853300925;-195;-135;-177
231701,442800211;216710,34606831;233955,69197003;-389;-321;-357
169708,627632757;167419,53761848;174934,225366134;-219;-133;-201
229662,470301832;211748,518103438;229683,579879325;-393;-345;-375
157748,35895196;151277,961591551;162408,248074469;-245;-139;-209
212731,489992748;196406,528303669;211851,206806061;-371;-355;-357
143904,404707708;139691,990916533;147010,664865343;-273;-161;-233
196378,002796795;180959,601032571;195915,297799138;-405;-361;-367
128919,476838953;125821,714792293;132848,966457848;-257;-135;-219
181904,077246914;165714,724790685;179854,574622813;-409;-365;-397
125591,723205848;119089,703064734;128091,333236053;-267;-185;-239
171460,453780185;156535,883800777;169884,494207918;-409;-373;-393
122033,700616111;114480,21180386;123340,298619229;-258;-160;-246
163136,020198321;148234,093724209;162402,561531812;-386;-356;-388
121466,698065144;113439,994289;122371,444459138;-294;-206;-264
159934,530658658;144410,415327811;158186,825770831;-396;-380;-396
116877,363944314;107183,735131183;117751,317596333;-264;-218;-240
161776,888733732;147899,209572943;159807,484703449;-400;-364;-380
119645,505727534;111072,270061249;120275,947633185;-294;-220;-274
156671,007928071;142651,760183238;155637,219853745;-382;-364;-378
