R;P;T;RMinus;PMinus;TMinus
16,8321589550892;36,1138518064593;20,9779821657787;8;-22;-8
151633201,948864;13559453,0295743;455539,933049065;-396;70;-56
19866527,6289469;76535897,4270833;1686709,59011436;-92;-406;124
10409539,701109;19073467,0506213;3518058,02004242;-274;-198;-184
8514984,14685798;27605320,0010653;1328400,98862122;-50;-406;-90
5476920,27004173;8298071,76204751;2084671,09347164;-184;-186;-206
4765792,36488828;14612562,7789452;1141767,80050051;-4;-412;-52
3645647,62718705;4170116,51278409;1516210,30413027;-125;-133;-179
2984344,8905186;8674351,55182241;946114,036412621;44;-408;-10
2492495,71808569;2258749,92988032;1144757,21990013;-77;-105;-159
2092735,19728013;5583592,00408416;771640,013829992;21;-401;25
1807821,82876477;1532578,27089688;894064,101121126;-44;-48;-118
1541802,36022234;3833387,25506286;627485,144857892;19;-389;29
1304970,59974528;1127848,39166136;708662,918406375;-44;-12;-108
1090073,84203828;2750343,67792172;513428,745265042;16;-380;50
942461,112964216;894795,526061511;570390,32036109;-32;0;-106
882808,71487587;2166852,70043285;427903,038936115;17;-371;57
741825,971590237;702208,187802755;476016,264239353;-5;-3;-101
679491,739102263;1758348,13792194;359995,735074619;4;-354;62
580406,029624565;553219,169863573;403467,482484081;13;-1;-85
547783,483223976;1456256,45842903;308138,326123938;12;-358;58
482480,261437698;459225,243869987;344563,284851206;21;-21;-77
493635,839958488;1236637,56185266;261814,150532116;-16;-350;62
412779,870301495;374574,228566143;295528,923666656;29;-25;-67
399960,546250362;1045710,36749925;232876,996069805;3;-343;61
359522,371476975;320880,511365941;255787,136954248;32;-26;-56
361697,958305664;890665,629342448;205858,686932916;14;-336;56
317684,55590676;297317,777072322;227225,123291497;52;-40;-50
308584,538071821;768175,185515319;186092,032189886;19;-325;47
278165,591827098;240684,338129321;199753,357776711;52;-32;-50
271250,964735893;660117,637842466;168087,938248168;-2;-318;46
254840,287849127;222044,078813689;179108,410672723;75;-25;-49
243984,209919435;568166,979919999;152422,780084575;-8;-302;44
223454,438545192;202927,630034016;160102,041909542;72;-14;-42
222514,695884348;509662,551618344;139078,860147129;26;-286;48
186866,728902276;184637,670439155;143520,545937889;73;-9;-33
195407,249056534;447885,311089601;126053,478055211;6;-266;38
182384,11512433;170220,963585263;130902,656921237;94;-6;-30
180379,181078117;401919,088345681;117084,743342484;33;-251;43
169848,392959447;158692,089836639;120624,860529409;56;-12;-24
168790,708628585;364496,923503522;108948,536633003;20;-228;44
160030,070048213;149692,94808072;110297,023580952;75;-21;-25
152420,488198673;327592,873060339;100682,031607609;36;-238;32
142051,709047214;137559,011441367;100299,144349873;90;-34;-30
132335,299946295;296782,440939475;93825,5062054428;21;-219;35
133996,905357418;128655,170549168;92764,4596137714;63;-35;-37
130453,419209904;275542,640216095;88306,1423085531;20;-194;32
126201,032810279;123780,826527358;85946,5333366975;62;-34;-28
124134,21395919;258820,168044702;82481,5061028114;48;-194;22
117624,261996136;120160,642318014;80410,1813156049;80;-56;-32
109520,464869634;237957,085266273;77314,6987933413;48;-174;34
111595,408475448;119022,705326936;74870,1138159518;95;-73;-39
105468,583582469;230379,068345556;73399,6554512785;37;-171;25
107761,115475078;120560,742188045;71848,381718646;84;-64;-34
107449,798668035;221180,3757601;69913,1851999919;46;-176;16
96657,8718121351;113629,786466508;67447,5889878233;85;-59;-35
98829,4045852016;206199,075296407;66053,5922166206;45;-167;3
88833,9226995008;108348,005437741;64178,1143822012;80;-52;-34
94391,7208033475;191847,11906008;63091,1589139787;49;-169;1
82182,573811304;105184,969155425;61912,6502057314;50;-38;-28
85867,6299158732;175528,88974036;60468,7723008625;64;-170;2
79401,0675604713;101375,353037292;58516,2470243296;71;-29;-31
86109,7184820146;164622,304176165;57241,3359258906;41;-161;-3
72201,9383448839;100270,668162155;56178,9935362153;60;-8;-18
80369,4161390759;155445,40008158;54389,5015361483;41;-141;3
72153,7214164366;94804,5429023178;54289,5109389327;69;-13;-17
82086,7335305647;149587,949572675;52322,961376763;70;-140;0
70027,8349641712;91056,9062702103;52083,4656791434;60;-16;-22
81275,828151342;148822,15611597;50821,3732739526;48;-142;-12
70533,8589329622;89465,5355446744;50223,6969800677;66;-10;-20
78130,0676246096;143451,775502176;48188,552718309;57;-129;-17
65758,2789833382;86927,9214413264;47560,3119663604;66;-24;-16
72331,919192844;137879,101862166;46340,2742211024;64;-126;-30
65334,9409170318;85342,910273823;45542,1126074005;65;-27;-13
68384,6038292898;129514,630281314;44564,7880338212;42;-122;-32
64079,7708156572;82257,4970060962;42760,2008309516;61;-41;-13
68856,0031958139;124955,438313365;42792,507234088;45;-113;-33
62967,4547515704;81714,6123721994;40560,0937203606;60;-40;-10
65601,1217716732;119739,529605169;41208,8452348083;62;-108;-36
58079,4877681026;83002,4970177544;38720,1129322758;58;-42;-12
61107,4106717667;114196,492013262;39892,6509849908;59;-97;-31
58372,148490258;82192,8298278665;37063,5623995223;57;-61;-9
58195,4376555468;104055,796439965;37987,7620636683;59;-101;-27
57336,1719159824;82101,3065233048;35450,341125956;51;-47;3
58262,8220776072;98490,8000462459;35819,0475797507;58;-90;-30
55596,6478102207;83725,4194155335;34249,139760673;66;-50;4
54364,9201719165;94183,2624111176;33918,1221186817;60;-102;-32
51485,5748202205;79337,1388692856;32342,0452148318;48;-44;0
52378,0362491532;89649,1416882602;31992,4767337241;57;-91;-31
50143,3860649322;75406,6547316593;31024,7417087935;41;-49;-7
52722,2683437717;86197,516676872;30574,1025768403;42;-86;-24
44705,2342714009;70979,3961060868;29390,4820351234;53;-23;-5
