R;P;T;RMinus;PMinus;TMinus
16,8321589550892;38,955409874688;26,0315883407567;8;28;26
151633201,948864;153887749,160985;151540957,897727;-396;-394;-396
19866527,6289469;72373390,9691495;20392757,0570582;-92;394;-110
10409539,701109;23486804,4408958;10774515,940352;-274;-78;-200
8514984,14685798;28584165,4349957;8488844,01066451;-50;404;-12
5476920,27004173;10026771,0044713;5636617,67233461;-184;-16;-102
4765792,36488828;15262377,2102565;4841081,60615347;-4;396;38
3645647,62718705;5804418,26505455;3871697,12014552;-125;-9;-11
2984344,8905186;9465576,22148969;3133677,43467053;44;374;56
2492495,71808569;3584033,33622433;2822830,08103934;-77;29;35
2092735,19728013;6166360,34463592;2233859,26280119;21;367;43
1807821,82876477;2258750,9333704;2047929,5529401;-44;32;46
1541802,36022234;4272301,68201833;1663800,40062694;19;345;25
1304970,59974528;1573363,06164509;1559177,12872932;-44;28;82
1090073,84203828;3022817,22914762;1196390,5030393;16;344;50
942461,112964216;1155939,87969527;1145569,08883242;-32;12;78
882808,71487587;2356702,09468697;975039,913708217;17;325;29
741825,971590237;941859,480555907;865997,14779249;-5;23;77
679491,739102263;1876130,26210479;752742,234333167;4;316;10
580406,029624565;737583,465943164;709816,334182707;13;21;81
547783,483223976;1504526,80975682;640381,267047931;12;324;8
482480,261437698;661287,701165416;608050,148185845;21;39;97
493635,839958488;1333758,25050625;541332,47576072;-16;316;-4
412779,870301495;548130,590963602;511224,538275721;29;51;77
399960,546250362;1108169,26546497;465924,28739738;3;309;7
359522,371476975;479626,448469854;441814,536817445;32;42;78
361697,958305664;960987,732032878;424474,322877333;14;298;12
317684,55590676;415825,729048132;400784,276558644;52;70;80
308584,538071821;823145,808475555;359290,347363946;19;277;-7
278165,591827098;370658,450419478;349028,109820557;52;76;90
271250,964735893;716585,720992136;322844,64354563;-2;272;-12
254840,287849127;335317,40270538;315469,856145775;75;79;71
243984,209919435;610538,774976942;286977,462906449;-8;266;-26
223454,438545192;299106,800740938;276969,573439487;72;82;94
222514,695884348;565534,609108328;259135,264397594;26;248;-2
186866,728902276;258265,671989066;239092,284950989;73;53;79
195407,249056534;497688,67082594;232362,674183734;6;230;-10
182384,11512433;244303,573433722;230050,825241979;94;76;94
180379,181078117;452293,558713186;214359,334399578;33;219;3
169848,392959447;228492,226730791;207350,395905726;56;78;62
168790,708628585;410243,546353112;202547,729086564;20;194;-16
160030,070048213;220267,265564114;193966,197815986;75;75;73
152420,488198673;369694,855612063;185225,542375539;36;196;-4
142051,709047214;197044,898887409;176165,654021916;90;94;78
132335,299946295;330422,890928661;164732,656037437;21;201;-3
133996,905357418;192186,679248169;164027,885250694;63;73;63
130453,419209904;315856,824919113;161484,500650965;20;176;6
126201,032810279;187020,244617133;154836,274851843;62;82;70
124134,21395919;300033,668993828;152773,529264871;48;178;14
117624,261996136;177375,231384752;148260,857371612;80;108;80
109520,464869634;277547,936236756;139387,487387772;48;150;14
111595,408475448;173544,086446707;139581,316480571;95;103;85
105468,583582469;258916,500615781;132978,799332035;37;165;23
107761,115475078;169294,347556649;135069,416311914;84;84;84
107449,798668035;255727,951418728;130034,536872864;46;170;14
96657,8718121351;156492,301355559;122140,131712337;85;91;79
98829,4045852016;235789,650551208;121807,714298044;45;153;15
88833,9226995008;139407,42120984;112210,793762271;80;70;66
94391,7208033475;222503,544344815;112027,501079794;49;159;25
82182,573811304;131539,33887736;103837,481601624;50;64;40
85867,6299158732;201045,690264338;107399,568421844;64;158;16
79401,0675604713;124561,034385333;99208,9831533693;71;57;53
86109,7184820146;190804,69180279;100927,807087807;41;157;21
72201,9383448839;120959,951949692;94278,856963253;60;40;44
80369,4161390759;172095,028090244;95464,993533858;41;139;27
72153,7214164366;112782,037570377;87793,7293389127;69;55;63
82086,7335305647;169365,260034635;96943,6765453784;70;138;38
70027,8349641712;108423,302248367;86157,4265342864;60;42;50
81275,828151342;171800,4091136;94541,6937760533;48;142;42
70533,8589329622;108265,727959354;84207,354075062;66;44;42
78130,0676246096;163733,261796086;93130,4271017342;57;131;43
65758,2789833382;102180,893930723;79382,0030545404;66;64;64
72331,919192844;158148,340990384;86244,3689407905;64;122;44
65334,9409170318;102222,606100517;79156,7761161269;65;55;57
68384,6038292898;146403,240843007;82425,7137180382;42;124;44
64079,7708156572;99183,3963776174;73479,7560093748;61;73;53
68856,0031958139;144901,993535811;82551,9800293078;45;103;41
62967,4547515704;101675,717986127;72975,4065402463;60;74;52
65601,1217716732;136745,567840075;79538,1443182395;62;110;46
58079,4877681026;104273,313167318;67649,9074186254;58;70;48
61107,4106717667;130012,329180102;74583,907434082;59;95;43
58372,148490258;98657,8678764847;67591,9349609375;57;71;47
58195,4376555468;116730,303155761;73367,6574911835;59;115;51
57336,1719159824;98667,1162586431;66185,1769580658;51;65;45
