X;Y;X;Y
-5,18E+08;-1,24E+08;-5,18E+08;-1,24E+08
-4,66E+08;-7,41E+07;-5,15E+08;-1,22E+08
-3,97E+08;-2,84E+07;-5,12E+08;-1,19E+08
-3,05E+08;1,26E+07;-5,09E+08;-1,16E+08
-1,90E+08;4,06E+07;-5,05E+08;-1,12E+08
-4,93E+07;4,94E+07;-5,04E+08;-1,10E+08
2,11E+08;1,10E+07;-5,03E+08;-1,09E+08
4,25E+08;-3,62E+07;-5,03E+08;-1,08E+08
4,94E+08;-4,04E+07;-5,02E+08;-1,08E+08
5,47E+08;-3,51E+07;-5,01E+08;-1,07E+08
5,60E+08;-3,21E+07;-5,00E+08;-1,06E+08
;;-4,99E+08;-1,05E+08
;;-4,99E+08;-1,04E+08
;;-4,98E+08;-1,04E+08
;;-4,97E+08;-1,03E+08
;;-4,97E+08;-1,02E+08
;;-4,96E+08;-1,02E+08
;;-4,95E+08;-1,01E+08
;;-4,95E+08;-1,00E+08
;;-4,94E+08;-9,98E+07
;;-4,94E+08;-9,92E+07
;;-4,93E+08;-9,86E+07
;;-4,92E+08;-9,81E+07
;;-4,92E+08;-9,76E+07
;;-4,91E+08;-9,70E+07
;;-4,91E+08;-9,65E+07
;;-4,90E+08;-9,61E+07
;;-4,90E+08;-9,56E+07
;;-4,89E+08;-9,51E+07
;;-4,89E+08;-9,46E+07
;;-4,88E+08;-9,42E+07
;;-4,88E+08;-9,37E+07
;;-4,87E+08;-9,33E+07
;;-4,87E+08;-9,29E+07
;;-4,86E+08;-9,24E+07
;;-4,86E+08;-9,20E+07
;;-4,86E+08;-9,16E+07
;;-4,85E+08;-9,12E+07
;;-4,85E+08;-9,08E+07
;;-4,84E+08;-9,04E+07
;;-4,84E+08;-8,96E+07
;;-4,83E+08;-8,89E+07
;;-4,82E+08;-8,82E+07
;;-4,81E+08;-8,75E+07
;;-4,80E+08;-8,68E+07
;;-4,80E+08;-8,61E+07
;;-4,79E+08;-8,55E+07
;;-4,78E+08;-8,49E+07
;;-4,77E+08;-8,42E+07
;;-4,77E+08;-8,36E+07
;;-4,76E+08;-8,30E+07
;;-4,75E+08;-8,25E+07
;;-4,75E+08;-8,19E+07
;;-4,74E+08;-8,13E+07
;;-4,74E+08;-8,08E+07
;;-4,73E+08;-8,02E+07
;;-4,72E+08;-7,97E+07
;;-4,72E+08;-7,92E+07
;;-4,71E+08;-7,87E+07
;;-4,71E+08;-7,82E+07
;;-4,70E+08;-7,77E+07
;;-4,69E+08;-7,72E+07
;;-4,69E+08;-7,68E+07
;;-4,68E+08;-7,63E+07
;;-4,68E+08;-7,59E+07
;;-4,67E+08;-7,54E+07
;;-4,67E+08;-7,50E+07
;;-4,66E+08;-7,45E+07
;;-4,66E+08;-7,41E+07
;;-4,65E+08;-7,37E+07
;;-4,64E+08;-7,32E+07
;;-4,64E+08;-7,28E+07
;;-4,63E+08;-7,24E+07
;;-4,63E+08;-7,20E+07
;;-4,62E+08;-7,16E+07
;;-4,62E+08;-7,12E+07
;;-4,61E+08;-7,08E+07
;;-4,61E+08;-7,04E+07
;;-4,61E+08;-7,01E+07
;;-4,60E+08;-6,97E+07
;;-4,60E+08;-6,93E+07
;;-4,59E+08;-6,90E+07
;;-4,59E+08;-6,86E+07
;;-4,58E+08;-6,83E+07
;;-4,58E+08;-6,79E+07
;;-4,57E+08;-6,76E+07
;;-4,57E+08;-6,72E+07
;;-4,56E+08;-6,69E+07
;;-4,56E+08;-6,62E+07
;;-4,55E+08;-6,55E+07
;;-4,54E+08;-6,49E+07
;;-4,53E+08;-6,42E+07
;;-4,52E+08;-6,36E+07
;;-4,51E+08;-6,30E+07
;;-4,50E+08;-6,24E+07
;;-4,50E+08;-6,18E+07
;;-4,49E+08;-6,13E+07
;;-4,48E+08;-6,07E+07
;;-4,47E+08;-6,02E+07
;;-4,47E+08;-5,96E+07
;;-4,46E+08;-5,91E+07
;;-4,45E+08;-5,85E+07
;;-4,44E+08;-5,80E+07
;;-4,44E+08;-5,75E+07
;;-4,43E+08;-5,70E+07
;;-4,42E+08;-5,65E+07
;;-4,42E+08;-5,60E+07
;;-4,41E+08;-5,55E+07
;;-4,40E+08;-5,51E+07
;;-4,40E+08;-5,46E+07
;;-4,39E+08;-5,41E+07
;;-4,38E+08;-5,37E+07
;;-4,38E+08;-5,32E+07
;;-4,37E+08;-5,28E+07
;;-4,36E+08;-5,24E+07
;;-4,36E+08;-5,19E+07
;;-4,35E+08;-5,15E+07
;;-4,34E+08;-5,11E+07
;;-4,34E+08;-5,07E+07
;;-4,33E+08;-5,02E+07
;;-4,33E+08;-4,98E+07
;;-4,32E+08;-4,94E+07
;;-4,31E+08;-4,90E+07
;;-4,31E+08;-4,87E+07
;;-4,30E+08;-4,83E+07
;;-4,30E+08;-4,79E+07
;;-4,29E+08;-4,75E+07
;;-4,28E+08;-4,71E+07
;;-4,28E+08;-4,68E+07
;;-4,27E+08;-4,64E+07
;;-4,27E+08;-4,60E+07
;;-4,26E+08;-4,57E+07
;;-4,26E+08;-4,53E+07
;;-4,25E+08;-4,50E+07
;;-4,25E+08;-4,46E+07
;;-4,24E+08;-4,43E+07
;;-4,23E+08;-4,39E+07
;;-4,23E+08;-4,36E+07
;;-4,22E+08;-4,33E+07
;;-4,22E+08;-4,29E+07
;;-4,21E+08;-4,26E+07
;;-4,21E+08;-4,23E+07
;;-4,20E+08;-4,20E+07
;;-4,20E+08;-4,17E+07
;;-4,19E+08;-4,13E+07
;;-4,19E+08;-4,10E+07
;;-4,18E+08;-4,07E+07
;;-4,18E+08;-4,04E+07
;;-4,17E+08;-4,01E+07
;;-4,17E+08;-3,98E+07
;;-4,16E+08;-3,95E+07
;;-4,16E+08;-3,92E+07
;;-4,15E+08;-3,89E+07
;;-4,15E+08;-3,86E+07
;;-4,14E+08;-3,83E+07
;;-4,13E+08;-3,78E+07
;;-4,13E+08;-3,72E+07
;;-4,12E+08;-3,67E+07
;;-4,11E+08;-3,61E+07
;;-4,10E+08;-3,56E+07
;;-4,09E+08;-3,50E+07
;;-4,08E+08;-3,45E+07
;;-4,07E+08;-3,40E+07
;;-4,06E+08;-3,35E+07
;;-4,05E+08;-3,30E+07
;;-4,05E+08;-3,25E+07
;;-4,04E+08;-3,20E+07
;;-4,03E+08;-3,16E+07
;;-4,02E+08;-3,11E+07
;;-4,01E+08;-3,06E+07
;;-4,00E+08;-3,02E+07
;;-4,00E+08;-2,97E+07
