R;P;T
195548628,884705;482185671,842708;309758636,171728
3092953,45935391;5200396,08131104;2072997,76819265
1585181,23520822;1765224,09995763;2320591,62053332
724523,108439471;903550,573968099;722198,485545209
633388,244592783;861411,731090968;834093,498875853
451375,870687383;586628,560122681;364461,413559812
425557,359762591;673903,194913561;491775,265810016
355178,322232958;492859,922347204;285098,693887542
311145,271685668;411280,537079012;326435,305992011
288548,357550625;374062,34089494;229705,117329713
243549,229703315;373585,874422837;240574,71278266
231814,817186736;336446,457625901;211733,155709808
203983,064609453;361312,41609214;207632,997889883
198367,79415056;333698,28030775;192732,354655847
166840,217093391;291201,89100106;175606,448699045
158553,311365733;261923,565285979;169062,916539343
143172,833913666;271777,668769883;155259,473107794
143412,357321616;243840,829835105;148250,161227993
131222,035036583;246174,041690202;138104,517440503
123149,721444039;221719,640982518;131496,20537642
116438,938974756;196500,048204848;121143,476486689
105818,416948949;163991,381716536;113718,475526909
98322,7731815587;159154,624325626;107344,053370124
94866,3319712082;151410,510698405;101443,245923592
90547,4392724701;147930,088897008;96361,6677411409
86176,396792327;150580,367715391;93866,450770748
83944,5444666409;149599,765576463;91214,3579094797
85627,9749642032;145423,520771669;90022,7476306902
79891,5992085764;142737,532803689;89373,219055779
81685,4199941381;139130,570781735;86716,0066816258
77650,1972152746;137255,754125784;84823,5067748886
78634,2764080773;141880,068971832;83966,3123990434
72328,8951991537;139743,711909515;81696,1701463513
74706,8446031439;140598,147947259;80845,9732196176
71519,8534944777;146119,92051067;79447,034672803
71429,5337019999;144427,47549501;78824,4396701566
69362,8467289659;149168,529121322;77755,8022549322
71439,5939582294;148931,428029602;77421,2056233743
68250,5239611574;146316,803602662;76465,080264222
69569,4545467656;140355,007828792;77230,7977172352
63788,4929559429;134786,179173045;74661,8983935494
65085,4338530788;126021,11754846;72494,7833306845
58256,4704005484;118626,747881571;69245,5262375019
60838,9063223448;114766,75926154;66115,0824813984
55648,7018736515;108342,675923026;63311,9930978039
55836,4307107382;102594,336558793;62748,7282290062
52295,2949494048;97216,4785043809;57531,8336274079
53234,6034525429;95039,3571273131;60445,0576046054
50537,1180008495;90153,4189882171;55376,0086088755
50316,5531833843;83827,8585366896;56439,0489291649
